Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Shai Gilgeous-Alexander,25.3,OKC,Point,2550,34.0,77,56.8%,77,33%,86,35%,88,16%,93,51%,2,1%,12,15%,5,16%
Anthony Gill,31.0,WAS,Forward,358,10.0,44,53.1%,90,47%,79,27%,15,1%,65,28%,25,9%,29,16%,15,25%
Collin Gillespie,24.4,DEN,Point,179,12.8,95,59.3%,37,20%,19,16%,33,7%,14,24%,44,5%,95,51%,86,56%
Jacob Gilyard,25.3,MEM,Point,612,17.0,100,60.2%,0,4%,0,4%,44,9%,2,13%,100,20%,100,62%,100,82%
Rudy Gobert,31.3,MIN,Big,2592,34.1,91,66.4%,95,85%,20,13%,29,1%,14,15%,0,0%,19,0%,14,0%
Jordan Goodwin,25.0,PHX,Point,505,15.8,9,43.8%,63,27%,49,22%,37,8%,47,30%,79,11%,47,31%,63,43%
Jordan Goodwin,25.0,MEM,Combo,482,28.4,5,39.0%,80,32%,65,25%,77,14%,74,39%,34,7%,17,21%,13,29%
Aaron Gordon,28.1,DEN,Big,2296,31.5,61,58.4%,79,69%,14,12%,57,3%,15,15%,58,7%,45,10%,45,17%
Eric Gordon,34.9,PHX,Wing,1879,27.6,75,57.1%,40,24%,37,13%,8,1%,20,14%,36,13%,90,49%,79,62%
Devonte' Graham,28.7,SAS,Combo,242,15.2,14,44.9%,24,16%,2,9%,13,4%,3,12%,43,9%,98,63%,97,72%
Jerami Grant,29.6,POR,Forward,1829,33.9,29,51.6%,50,33%,63,22%,94,15%,79,37%,35,11%,42,18%,29,30%
AJ Green,24.1,MIL,Combo,517,10.6,98,61.4%,0,3%,0,2%,49,9%,1,11%,88,21%,99,65%,100,86%
Draymond Green,33.7,GSW,Big,1489,27.1,43,56.3%,41,41%,63,24%,39,2%,52,26%,68,10%,66,22%,65,32%
Jalen Green,21.7,HOU,Combo,2601,31.7,34,50.1%,83,33%,15,13%,66,12%,27,25%,7,4%,67,38%,45,42%
Javonte Green,30.3,CHI,Big,226,25.1,92,67.6%,60,56%,6,9%,0,0%,2,9%,93,23%,48,12%,68,35%
Jeff Green,37.2,HOU,Big,1289,16.5,26,53.5%,26,33%,68,25%,68,5%,65,30%,86,18%,61,19%,74,37%
