Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,23.1,TOR,Big,1113,20.6,22,52.4%,62,72%,21,32%,27,22%,16,32%,11,26%,26,30%,17,28%
Steven Adams,29.3,MEM,Big,1132,27.0,62,59.7%,21,63%,78,51%,11,0%,77,50%,0,0%,0,,0,0%
Bam Adebayo,25.3,MIA,Big,2594,34.6,28,54.3%,39,68%,64,47%,61,45%,65,47%,0,,0,11%,0,11%
Ochai Agbaji,22.5,UTA,Combo,1159,22.3,67,54.4%,22,56%,79,50%,56,44%,85,49%,89,48%,14,29%,55,37%
Santi Aldama,21.8,MEM,Big,1625,21.1,42,56.5%,40,68%,48,44%,50,38%,48,44%,56,36%,51,36%,58,36%
Nickeil Alexander-Walker,24.2,MIN,Wing,353,16.1,28,50.4%,11,52%,37,38%,30,30%,26,35%,72,42%,38,34%,53,37%
Nickeil Alexander-Walker,24.2,UTA,Combo,486,15.7,93,59.2%,85,70%,45,41%,91,57%,72,46%,31,35%,92,44%,85,41%
Grayson Allen,27.1,MIL,Wing,1968,27.3,78,57.3%,42,63%,26,34%,5,0%,16,32%,88,47%,66,38%,74,40%
Jarrett Allen,24.5,CLE,Big,2212,32.5,85,64.7%,79,75%,68,49%,39,32%,62,46%,0,0%,0,33%,0,10%
Jose Alvarado,24.6,NOP,Point,1285,21.1,35,50.0%,65,64%,11,36%,7,8%,7,33%,61,39%,23,32%,35,34%
Kyle Anderson,29.1,MIN,Forward,1954,28.3,56,55.1%,18,60%,88,52%,24,23%,88,49%,86,44%,76,38%,88,41%
Giannis Antetokounmpo,27.9,MIL,Big,2021,32.1,47,57.2%,76,75%,12,28%,47,37%,18,32%,0,20%,15,28%,16,28%
Thanasis Antetokounmpo,30.3,MIL,Big,113,6.0,1,40.6%,4,53%,71,50%,11,0%,43,43%,0,0%,0,0%,0,0%
Cole Anthony,22.5,ORL,Point,1524,25.4,52,51.8%,50,60%,70,47%,63,44%,67,46%,53,37%,58,37%,51,37%
OG Anunoby,25.3,TOR,Wing,2385,35.6,66,55.7%,56,65%,34,37%,72,44%,41,39%,81,45%,36,34%,67,39%
Ryan Arcidiacono,28.6,POR,Point,127,18.2,0,34.5%,0,0%,0,14%,0,0%,0,9%,0,,49,35%,42,35%
Deni Avdija,21.8,WAS,Wing,1998,26.3,24,49.4%,65,67%,20,32%,20,24%,15,31%,20,34%,9,29%,13,30%
Deandre Ayton,24.3,PHX,Big,2033,30.4,59,59.3%,91,79%,67,48%,65,48%,70,48%,0,,17,29%,19,29%
