Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
John Konchar,27.6,MEM,Wing,1128,21.7,33,51.0%,34,61%,6,25%,2,0%,4,22%,10,30%,33,33%,19,31%
Furkan Korkmaz,26.3,PHI,Wing,220,8.8,37,51.8%,54,64%,23,33%,2,0%,6,25%,0,50%,87,40%,84,41%
Luke Kornet,28.3,BOS,Big,919,15.3,97,70.6%,83,76%,8,25%,0,,8,25%,0,,0,100%,0,100%
Vit Krejci,23.4,ATL,Wing,514,23.4,99,66.3%,89,73%,87,50%,91,67%,96,53%,65,41%,98,47%,98,45%
Jonathan Kuminga,21.1,GSW,Forward,1932,26.1,69,56.3%,88,74%,52,42%,56,44%,46,42%,43,40%,14,29%,28,33%
Kyle Kuzma,28.3,WAS,Big,2279,32.6,17,52.2%,87,76%,39,40%,51,34%,35,38%,74,41%,29,32%,39,34%
Jake LaRavia,22.0,MEM,Wing,766,23.2,19,48.8%,6,49%,46,40%,17,20%,32,36%,90,46%,35,33%,43,36%
Zach LaVine,28.6,CHI,Wing,871,34.9,49,53.2%,33,61%,45,39%,78,50%,75,46%,85,45%,32,33%,36,35%
Jock Landale,28.0,HOU,Big,688,13.2,39,56.0%,11,57%,95,61%,76,50%,96,59%,0,50%,22,30%,22,31%
A.J. Lawson,23.3,DAL,Wing,203,7.5,17,48.1%,89,74%,0,0%,31,33%,1,10%,1,16%,0,36%,4,23%
Caris LeVert,29.2,CLE,Wing,1923,28.3,18,48.4%,23,58%,44,39%,27,30%,41,38%,26,34%,28,32%,23,33%
Saben Lee,24.4,PHX,Point,146,9.2,2,34.1%,5,46%,2,20%,0,,2,20%,0,10%,0,20%,0,13%
Alex Len,30.4,SAC,Big,403,8.8,78,62.5%,91,78%,31,38%,76,50%,35,38%,0,0%,0,,0,0%
Kawhi Leonard,32.3,LAC,Big,2329,34.3,63,58.7%,75,74%,86,53%,71,44%,81,50%,83,43%,91,42%,92,42%
Kira Lewis Jr.,22.6,NOP,Point,102,11.4,0,28.8%,30,57%,0,0%,5,0%,0,0%,0,0%,0,13%,0,8%
Kira Lewis Jr.,22.6,UTA,Combo,105,13.1,33,50.0%,57,63%,97,64%,3,0%,99,56%,0,0%,0,25%,0,20%
Damian Lillard,33.3,MIL,Point,2578,35.3,35,51.0%,51,61%,23,37%,47,40%,28,39%,9,30%,43,36%,28,35%
Nassir Little,23.7,PHX,Wing,382,13.2,83,58.9%,60,66%,99,75%,31,33%,99,64%,36,36%,56,36%,48,36%
Dereck Lively II,19.7,DAL,Big,1287,23.4,99,74.4%,93,80%,77,49%,96,100%,85,51%,0,0%,0,,0,0%
Isaiah Livers,25.3,DET,Forward,435,19.0,15,47.0%,29,62%,4,17%,21,33%,2,25%,16,33%,19,30%,22,31%
Kevon Looney,27.7,GSW,Big,1182,16.0,74,60.4%,54,70%,41,40%,73,46%,46,41%,0,,0,,0,
Brook Lopez,35.6,MIL,Big,2399,30.4,60,58.3%,74,74%,40,40%,76,50%,52,42%,70,41%,51,36%,59,37%
Kevin Love,35.1,MIA,Big,922,16.8,39,56.0%,52,69%,97,64%,52,36%,96,59%,17,26%,52,36%,45,35%
Kyle Lowry,37.6,MIA,Point,1034,27.9,74,56.5%,21,56%,28,38%,98,73%,74,47%,56,44%,70,38%,73,40%
Kyle Lowry,37.6,PHI,Combo,650,28.3,85,57.5%,73,67%,90,55%,17,27%,66,45%,62,42%,70,39%,78,40%
Trey Lyles,28.0,SAC,Big,1146,19.8,57,58.1%,50,69%,38,39%,30,13%,18,32%,64,38%,76,40%,78,39%
Theo Maledon,22.4,CHA,Combo,190,14.7,2,35.2%,10,50%,28,36%,13,20%,10,32%,0,25%,3,17%,1,19%
Sandro Mamukelashvili,24.4,SAS,Big,365,10.2,47,57.1%,32,66%,25,35%,76,50%,26,36%,61,38%,67,39%,75,38%
Terance Mann,27.0,LAC,Wing,1805,24.1,85,59.4%,92,75%,86,49%,21,24%,69,44%,55,40%,21,31%,44,36%
Tre Mann,22.7,CHA,Combo,861,30.8,50,52.6%,65,64%,67,45%,9,16%,31,39%,67,43%,44,35%,41,37%
Lauri Markkanen,26.4,UTA,Forward,1817,33.0,77,57.8%,75,70%,69,45%,40,37%,63,44%,62,44%,78,39%,76,40%
Naji Marshall,25.8,NOP,Wing,1156,17.5,68,55.9%,16,56%,82,48%,72,46%,86,48%,73,43%,79,39%,85,41%
Caleb Martin,28.1,MIA,Wing,1743,27.2,31,50.8%,25,58%,53,41%,44,36%,43,39%,33,36%,56,36%,46,36%
Cody Martin,28.1,CHA,Wing,751,26.8,7,44.4%,57,65%,11,26%,18,21%,5,23%,21,33%,17,30%,20,31%
Kenyon Martin Jr.,22.8,PHI,Forward,610,13.6,63,55.4%,27,62%,42,39%,71,50%,44,41%,0,42%,0,22%,30,33%
Garrison Mathews,27.0,ATL,Wing,931,14.1,96,64.7%,50,64%,34,36%,96,80%,83,47%,91,48%,93,43%,96,44%
Bennedict Mathurin,21.4,IND,Wing,1512,25.6,31,50.7%,12,53%,57,42%,66,44%,59,43%,40,37%,72,38%,57,38%
Wesley Matthews,37.0,ATL,Wing,395,11.0,10,47.3%,2,38%,36,36%,2,0%,10,29%,56,40%,23,31%,40,35%
Tyrese Maxey,23.0,PHI,Point,2615,37.4,47,52.9%,65,63%,30,39%,37,38%,26,39%,100,58%,53,36%,57,38%
Skylar Mays,26.2,POR,Combo,331,18.4,9,43.3%,3,40%,58,44%,91,54%,71,46%,0,17%,23,29%,7,28%
Miles McBride,23.1,NYK,Combo,1244,20.7,80,56.4%,59,63%,35,38%,58,41%,34,39%,52,41%,81,41%,82,41%
CJ McCollum,32.1,NOP,Combo,2156,32.7,81,57.4%,19,53%,77,49%,70,44%,79,47%,74,46%,92,43%,95,43%
TJ McConnell,31.6,IND,Point,1221,17.4,84,57.6%,86,69%,84,51%,67,45%,88,50%,0,67%,65,38%,95,44%
Jaden McDaniels,23.1,MIN,Wing,2102,29.2,69,56.2%,90,74%,94,51%,24,28%,81,47%,37,36%,19,30%,33,34%
Jalen McDaniels,25.7,TOR,Forward,433,11.1,0,36.0%,21,59%,25,37%,8,0%,15,33%,8,26%,0,8%,0,15%
Doug McDermott,31.8,IND,Wing,178,9.9,37,51.7%,93,75%,100,80%,91,67%,100,75%,0,30%,20,31%,14,30%
Doug McDermott,31.8,SAS,Forward,685,14.9,92,61.6%,8,54%,2,14%,60,44%,8,31%,51,42%,94,44%,98,44%
JaVale McGee,35.8,SAC,Big,296,7.4,89,66.1%,97,83%,75,49%,12,0%,74,48%,0,,0,0%,0,0%
Bryce McGowens,21.0,CHA,Wing,798,15.3,27,50.0%,19,57%,51,41%,19,22%,31,35%,56,40%,9,27%,25,33%
Jordan McLaughlin,27.6,MIN,Combo,567,11.6,100,65.8%,43,60%,9,29%,100,75%,33,39%,82,46%,100,52%,100,49%
De'Anthony Melton,25.4,PHI,Wing,1018,26.8,25,49.7%,7,49%,32,35%,25,29%,23,33%,12,31%,71,38%,48,36%
Nathan Mensah,25.6,CHA,Big,234,10.7,2,36.0%,4,50%,4,18%,0,,3,18%,0,,0,,0,
Sam Merrill,27.5,CLE,Wing,961,16.3,80,58.3%,5,47%,23,33%,2,0%,10,29%,90,46%,78,39%,82,40%
Chimezie Metu,26.6,DET,Big,399,28.5,29,54.3%,58,70%,93,58%,59,40%,94,56%,0,20%,44,35%,15,29%
Chimezie Metu,26.6,PHX,Big,404,12.6,68,59.2%,93,80%,19,31%,12,0%,14,29%,97,47%,3,23%,27,32%
Vasilije Micic,29.8,CHA,Point,813,27.1,26,49.8%,58,62%,49,42%,63,44%,47,43%,0,29%,15,30%,10,30%
Vasilije Micic,29.8,OKC,Combo,317,10.9,49,52.5%,99,77%,17,33%,73,44%,28,38%,0,0%,48,35%,16,31%
Khris Middleton,32.2,MIL,Wing,1486,27.0,71,56.6%,62,67%,81,48%,88,59%,97,54%,75,43%,63,37%,65,38%
Brandon Miller,20.9,CHA,Wing,2372,32.1,45,53.0%,46,63%,51,41%,72,47%,61,43%,44,38%,74,38%,65,38%
Patty Mills,35.2,ATL,Combo,187,11.7,40,51.1%,10,50%,79,50%,10,17%,13,33%,0,46%,32,33%,61,39%
Patty Mills,35.2,MIA,Combo,199,16.6,6,40.7%,94,75%,1,14%,99,70%,74,47%,0,18%,6,23%,2,22%
Shake Milton,27.1,MIN,Combo,428,13.8,10,43.7%,21,54%,31,36%,73,44%,27,38%,51,41%,3,17%,11,28%
Justin Minaya,24.6,POR,Wing,328,10.9,1,34.2%,4,44%,0,0%,0,,0,0%,0,33%,1,17%,3,22%
Davion Mitchell,25.2,SAC,Combo,1039,15.8,78,56.0%,94,75%,43,39%,79,47%,55,42%,75,46%,39,34%,53,38%
Donovan Mitchell,27.1,CLE,Combo,1929,35.1,73,54.9%,73,67%,42,39%,81,49%,62,44%,7,30%,57,38%,49,37%
Evan Mobley,22.4,CLE,Big,1525,30.5,73,60.3%,66,73%,58,44%,41,30%,55,42%,44,35%,85,41%,69,38%
Malik Monk,25.7,SAC,Wing,1859,25.8,43,52.6%,49,64%,74,46%,67,44%,73,45%,50,39%,40,34%,37,35%
Moses Moody,21.4,GSW,Wing,1105,17.0,56,54.3%,76,70%,75,46%,30,32%,62,43%,15,32%,63,37%,41,35%
Ja Morant,24.2,MEM,Point,317,35.3,40,51.5%,74,66%,72,47%,30,38%,70,46%,0,20%,10,29%,8,28%
Marcus Morris,34.2,PHI,Forward,621,16.8,42,52.8%,25,61%,44,40%,63,45%,50,43%,30,36%,92,42%,83,40%
Marcus Morris,34.2,CLE,Big,169,14.1,55,57.7%,100,100%,20,33%,66,43%,37,39%,0,55%,0,40%,99,46%
Markieff Morris,34.2,DAL,Big,164,8.2,4,45.3%,1,25%,41,40%,44,33%,24,36%,0,44%,34,33%,60,37%
Monte Morris,28.3,MIN,Combo,392,14.5,37,50.5%,10,50%,6,26%,63,43%,15,34%,97,57%,32,33%,94,43%
Trey Murphy III,23.4,NOP,Wing,1651,29.0,75,57.2%,96,75%,69,45%,20,23%,49,41%,46,38%,68,37%,56,38%
Dejounte Murray,27.1,ATL,Combo,2781,35.7,57,52.8%,36,58%,73,47%,88,51%,84,49%,66,43%,38,34%,37,36%
Jamal Murray,26.7,DEN,Point,1858,31.5,67,55.5%,53,62%,58,44%,79,48%,67,46%,6,29%,100,45%,90,43%
Keegan Murray,23.2,SAC,Wing,2577,33.5,59,54.9%,81,71%,93,51%,52,39%,79,46%,17,32%,70,37%,45,36%
Kris Murray,23.2,POR,Wing,1244,21.1,13,47.5%,29,60%,38,37%,2,0%,32,36%,20,33%,6,24%,9,29%
Mike Muscala,32.3,WAS,Big,318,13.9,5,45.8%,6,53%,66,45%,39,29%,37,39%,0,23%,34,33%,19,30%
Mike Muscala,32.3,DET,Big,165,12.7,20,52.6%,0,0%,20,33%,12,0%,3,20%,0,75%,24,30%,90,42%
Sviatoslav Mykhailiuk,26.4,BOS,Wing,284,10.1,98,65.5%,93,75%,87,50%,2,0%,38,38%,100,58%,67,37%,97,45%
Larry Nance Jr.,30.8,NOP,Big,1204,19.7,83,63.9%,63,72%,57,44%,95,80%,72,47%,81,42%,99,43%,94,43%
Andrew Nembhard,23.8,IND,Combo,1675,24.6,77,55.5%,86,69%,76,49%,84,50%,85,49%,90,50%,20,29%,36,36%
Aaron Nesmith,24.0,IND,Wing,1989,27.6,90,60.8%,55,65%,78,47%,78,50%,83,47%,80,44%,89,41%,88,42%
Georges Niang,30.4,CLE,Forward,1759,21.5,67,56.1%,54,66%,83,49%,71,50%,85,49%,27,35%,81,39%,57,38%
Zeke Nnaji,22.8,DEN,Big,493,9.3,10,49.6%,7,54%,14,29%,0,,12,29%,0,17%,0,38%,0,29%
Jaylen Nowell,24.3,MEM,Point,150,16.7,5,43.3%,0,33%,95,53%,100,78%,100,61%,0,0%,0,17%,0,14%
Jusuf Nurkic,29.2,PHX,Big,2076,27.3,22,52.9%,15,60%,68,46%,44,33%,65,45%,0,11%,8,26%,5,25%
Jordan Nwora,25.1,TOR,Wing,444,14.3,55,54.2%,62,67%,87,50%,17,20%,65,44%,21,33%,52,36%,38,35%
Jordan Nwora,25.1,IND,Wing,105,8.8,40,52.4%,72,69%,6,25%,91,67%,60,43%,0,33%,0,25%,7,28%
