Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,22.1,TOR,Big,1693,23.2,7,48.6%,13,59%,29,35%,37,24%,22,33%,25,31%,85,40%,61,36%
Steven Adams,28.3,MEM,Big,1997,26.3,42,55.1%,16,60%,39,39%,8,0%,38,38%,0,,0,,0,
Bam Adebayo,24.3,MIA,Big,1822,32.5,46,55.9%,75,73%,64,45%,56,34%,56,42%,0,,0,0%,0,0%
Santi Aldama,20.8,MEM,Big,243,11.6,2,42.8%,59,69%,15,29%,97,100%,22,33%,0,22%,0,5%,0,10%
LaMarcus Aldridge,36.3,BKN,Big,1047,22.3,50,56.6%,57,69%,87,52%,91,55%,91,54%,0,29%,44,32%,31,31%
Nickeil Alexander-Walker,23.2,UTA,Wing,112,11.3,25,48.6%,2,38%,25,33%,98,100%,90,50%,0,36%,0,33%,42,35%
Nickeil Alexander-Walker,23.2,NOP,Combo,1298,26.0,25,45.7%,34,54%,31,35%,16,26%,20,31%,32,36%,23,30%,31,32%
Grayson Allen,26.1,MIL,Wing,1786,27.1,90,58.5%,62,65%,52,39%,28,31%,37,38%,77,44%,87,40%,88,41%
Jarrett Allen,23.5,CLE,Big,1802,32.2,93,67.8%,94,78%,61,44%,92,58%,75,47%,0,0%,0,33%,0,11%
Jose Alvarado,23.6,NOP,Point,731,15.2,62,51.2%,32,56%,100,58%,56,40%,96,54%,27,33%,20,29%,15,30%
Justin Anderson,28.0,IND,Wing,260,20.0,6,42.4%,54,64%,75,44%,82,50%,85,47%,55,39%,0,15%,6,23%
Kyle Anderson,28.1,MEM,Forward,1458,21.1,18,48.4%,18,60%,61,43%,20,19%,43,39%,63,42%,8,27%,34,33%
Giannis Antetokounmpo,26.9,MIL,Big,2189,32.7,65,58.7%,91,77%,43,39%,71,44%,51,41%,0,17%,36,31%,27,30%
Thanasis Antetokounmpo,29.3,MIL,Big,359,8.8,62,58.2%,49,68%,1,10%,48,33%,2,15%,0,25%,0,25%,0,25%
Carmelo Anthony,37.4,LAL,Big,1784,25.9,39,54.7%,27,64%,77,49%,78,47%,82,48%,80,45%,63,36%,80,38%
Cole Anthony,21.5,ORL,Point,2044,31.5,24,46.9%,28,55%,56,40%,34,32%,40,37%,39,35%,56,34%,51,34%
