Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Sam Hauser,26.9,BOS,Forward,1503,21.2,95,63.3%,0,7%,7,4%,56,4%,9,9%,82,26%,100,58%,100,84%
Jordan Hawkins,22.5,NOP,Wing,1277,22.8,9,47.1%,14,12%,34,14%,93,16%,75,30%,47,16%,76,42%,71,58%
Jaxson Hayes,24.4,LAL,Big,1074,19.2,98,72.3%,96,83%,27,16%,23,0%,21,16%,21,0%,21,0%,19,1%
Killian Hayes,23.3,BKN,Point,152,25.4,42,50.0%,64,26%,66,29%,9,2%,45,31%,57,7%,55,36%,57,43%
Scoot Henderson,20.7,POR,Point,1732,26.2,30,49.5%,77,33%,25,19%,66,8%,30,27%,49,6%,45,33%,38,40%
Tyler Herro,24.8,MIA,Combo,2718,35.3,87,56.7%,31,18%,74,28%,60,8%,69,36%,21,6%,71,40%,57,46%
Buddy Hield,31.9,GSW,Wing,1834,22.4,55,54.4%,17,15%,17,10%,61,6%,27,16%,54,18%,90,52%,88,69%
Haywood Highsmith,27.9,MIA,Forward,1803,24.7,75,57.6%,33,26%,30,16%,9,1%,23,17%,86,28%,61,30%,82,58%
Aaron Holiday,28.1,HOU,Combo,688,13.0,93,59.4%,6,9%,25,18%,53,7%,23,25%,76,15%,94,51%,91,65%
Jrue Holiday,34.4,BOS,Combo,1891,30.5,64,54.0%,57,25%,26,18%,25,5%,16,23%,85,18%,53,34%,74,51%
Ron Holland II,19.3,DET,Forward,1170,14.4,30,50.9%,84,44%,65,22%,25,2%,53,24%,63,17%,12,15%,32,32%
Richaun Holmes,31.0,WAS,Big,507,18.8,93,66.9%,91,77%,48,21%,0,0%,36,21%,24,1%,24,1%,21,1%
Chet Holmgren,22.5,OKC,Big,873,27.3,42,55.5%,39,41%,55,23%,78,6%,66,29%,50,5%,68,25%,61,30%
Jalen Hood-Schifino,21.4,PHI,Wing,295,22.7,4,43.8%,24,18%,61,19%,96,19%,90,37%,6,6%,73,39%,45,45%
Al Horford,38.4,BOS,Big,1658,27.6,38,54.8%,3,18%,20,14%,50,2%,19,16%,94,22%,97,44%,98,66%
