Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,25.1,NYK,Big,1141,20.0,25,51.9%,70,60%,76,28%,43,2%,68,30%,59,8%,27,2%,35,10%
Steven Adams,31.3,HOU,Big,784,13.8,39,54.9%,82,71%,78,29%,0,0%,65,29%,0,0%,0,0%,0,0%
Bam Adebayo,27.3,MIA,Big,2666,34.2,27,52.3%,11,27%,94,43%,92,13%,99,55%,51,5%,45,12%,44,17%
Ochai Agbaji,24.5,TOR,Wing,1711,26.7,88,59.1%,86,43%,16,10%,19,2%,10,11%,86,26%,16,19%,46,46%
Santi Aldama,23.8,MEM,Big,1634,25.1,56,57.7%,8,26%,61,24%,54,3%,55,26%,76,14%,85,34%,85,48%
Nickeil Alexander-Walker,26.2,MIN,Wing,2053,25.0,62,55.8%,41,23%,44,15%,55,5%,41,20%,76,22%,64,35%,70,57%
Grayson Allen,29.1,PHX,Wing,1532,23.9,93,60.1%,26,18%,36,14%,13,1%,22,15%,65,19%,84,48%,85,67%
Jarrett Allen,26.5,CLE,Big,2292,28.0,97,70.8%,81,71%,74,28%,33,1%,65,29%,18,0%,21,0%,18,1%
Jose Alvarado,26.6,NOP,Point,1332,23.8,34,49.6%,25,17%,43,23%,11,3%,23,26%,77,12%,79,45%,81,57%
Kyle Anderson,31.1,MIA,Big,444,17.8,23,51.6%,38,41%,93,42%,78,6%,94,48%,55,6%,35,5%,36,11%
Kyle Anderson,31.1,GSW,Big,508,14.5,18,50.7%,4,20%,96,45%,75,6%,96,50%,79,15%,48,14%,59,29%
Giannis Antetokounmpo,29.9,MIL,Big,2287,34.1,75,60.4%,72,61%,37,18%,97,17%,76,36%,16,0%,31,4%,26,4%
Cole Anthony,24.5,ORL,Point,1172,17.8,26,48.4%,40,21%,74,32%,75,11%,79,43%,43,6%,43,30%,32,36%
OG Anunoby,27.3,NYK,Forward,2701,36.5,67,56.2%,77,42%,18,11%,68,6%,25,17%,74,20%,35,21%,46,41%
Deni Avdija,23.8,POR,Forward,2166,30.1,60,55.4%,81,44%,44,19%,46,3%,33,22%,12,7%,54,28%,39,35%
Deandre Ayton,26.3,POR,Big,1205,30.1,52,57.3%,44,42%,81,32%,98,19%,97,51%,41,3%,30,3%,30,7%
Marcus Bagley,23.0,PHI,Forward,246,24.7,4,43.2%,93,47%,9,7%,16,1%,7,9%,75,20%,46,24%,53,44%
Marvin Bagley,25.6,WAS,Big,115,7.2,33,53.8%,61,51%,90,38%,47,2%,83,40%,45,4%,33,4%,33,9%
LaMelo Ball,23.2,CHA,Point,1501,31.9,36,49.7%,42,21%,51,25%,32,5%,43,30%,26,5%,74,44%,74,49%
Lonzo Ball,27.0,CHI,Wing,776,22.2,36,51.7%,3,8%,10,7%,52,5%,14,12%,60,18%,99,62%,96,80%
Mohamed Bamba,26.5,LAC,Big,316,11.3,39,54.9%,33,38%,22,15%,57,3%,24,18%,76,14%,79,31%,78,45%
Paolo Banchero,22.0,ORL,Big,1580,34.4,16,50.4%,24,31%,70,26%,96,17%,86,43%,36,2%,65,23%,53,25%
Desmond Bane,26.4,MEM,Wing,2191,31.8,69,56.5%,48,27%,85,25%,78,9%,84,34%,16,8%,51,31%,29,39%
Dalano Banton,25.0,POR,Wing,1037,16.7,6,45.8%,69,34%,69,20%,59,5%,64,26%,23,9%,53,32%,34,41%
Dominick Barlow,21.4,ATL,Big,336,12.5,67,59.3%,59,50%,51,22%,75,6%,59,28%,85,18%,34,5%,50,23%
Harrison Barnes,32.4,SAS,Big,2224,27.1,83,62.3%,30,35%,33,17%,29,1%,26,18%,96,27%,59,20%,81,47%
Scottie Barnes,23.3,TOR,Forward,2121,32.6,16,48.6%,44,30%,93,34%,93,13%,96,47%,4,4%,30,20%,11,23%
RJ Barrett,24.4,TOR,Wing,1855,32.0,42,52.4%,88,44%,88,26%,29,3%,72,29%,9,7%,20,21%,6,27%
Charles Bassey,24.0,SAS,Big,316,11.3,41,55.2%,83,72%,69,26%,55,3%,62,28%,0,0%,0,0%,0,0%
Jamison Battle,23.5,TOR,Wing,977,17.2,81,57.9%,14,13%,14,9%,49,4%,16,13%,93,31%,78,43%,93,74%
Nicolas Batum,35.9,LAC,Forward,1344,17.2,98,63.4%,2,11%,0,3%,42,3%,4,5%,100,42%,84,42%,98,83%
Damion Baugh,24.2,CHA,Combo,347,23.1,0,35.0%,69,28%,83,30%,7,2%,55,32%,72,14%,32,26%,36,40%
Bradley Beal,31.3,PHX,Wing,1699,32.1,76,57.6%,39,22%,87,26%,94,16%,97,42%,31,12%,29,23%,19,35%
Malik Beasley,27.9,DET,Wing,2272,27.7,82,58.0%,7,10%,43,15%,63,6%,44,21%,41,16%,93,54%,89,69%
Reece Beekman,23.1,BKN,Point,413,13.8,4,35.3%,87,38%,32,21%,42,6%,28,27%,79,12%,26,23%,28,35%
Goga Bitadze,25.3,ORL,Big,1402,20.3,82,62.2%,85,74%,34,17%,52,2%,32,20%,30,1%,36,5%,30,6%
Bismack Biyombo,32.2,SAS,Big,511,19.0,55,57.7%,66,56%,95,44%,0,0%,87,44%,0,0%,0,0%,0,0%
Anthony Black,20.8,ORL,Combo,1809,23.2,28,48.0%,94,38%,67,27%,51,7%,63,34%,62,12%,7,16%,13,28%
Bogdan Bogdanovic,32.2,LAC,Wing,735,24.5,90,59.6%,16,14%,94,29%,72,7%,89,36%,21,9%,75,41%,57,50%
Bogdan Bogdanovic,32.2,ATL,Wing,597,24.9,10,47.1%,31,20%,19,12%,66,6%,31,18%,54,18%,81,45%,76,63%
Bol Bol,25.0,PHX,Big,375,13.9,72,59.9%,1,14%,60,23%,95,15%,82,38%,98,27%,63,21%,85,48%
Adem Bona,21.6,PHI,Big,822,15.8,96,70.4%,99,87%,15,13%,0,0%,10,13%,22,0%,0,0%,15,0%
Devin Booker,28.0,PHX,Combo,2780,37.1,56,52.6%,32,18%,69,28%,94,19%,93,46%,17,5%,45,31%,29,36%
Brandon Boston Jr.,22.9,NOP,Wing,953,23.3,22,50.4%,61,30%,36,14%,97,21%,86,35%,18,8%,36,26%,18,35%
Chris Boucher,31.8,TOR,Big,842,16.8,60,58.5%,32,37%,12,11%,69,5%,19,16%,93,22%,70,26%,83,47%
Malaki Branham,21.5,SAS,Wing,321,10.4,64,55.9%,57,29%,74,22%,88,14%,88,35%,13,7%,39,28%,19,35%
Christian Braun,23.5,DEN,Wing,2667,33.8,99,63.4%,99,56%,46,15%,46,4%,38,19%,19,8%,11,16%,3,25%
Mikal Bridges,28.2,NYK,Wing,3022,36.9,78,57.7%,38,22%,95,30%,83,11%,95,41%,63,19%,14,18%,23,37%
Miles Bridges,26.6,CHA,Forward,2025,31.6,19,49.7%,54,34%,74,25%,53,4%,74,29%,25,10%,58,28%,40,38%
Oshae Brissett,26.4,PHI,Big,142,23.7,33,53.9%,48,44%,30,16%,0,0%,21,16%,77,14%,71,26%,73,40%
Malcolm Brogdon,31.9,WAS,Combo,563,23.5,21,47.1%,93,38%,69,28%,84,13%,80,41%,6,2%,10,19%,5,21%
Dillon Brooks,28.8,HOU,Wing,2386,31.8,49,53.6%,23,17%,78,23%,79,9%,80,33%,33,13%,67,37%,57,50%
Keion Brooks,24.3,NOP,Wing,301,23.2,74,57.1%,66,32%,89,27%,53,5%,78,31%,36,14%,26,22%,21,36%
Bruce Brown,28.2,NOP,Combo,567,24.7,15,45.8%,82,33%,93,38%,31,5%,84,43%,59,12%,3,12%,6,23%
Bruce Brown,28.2,TOR,Wing,340,18.9,13,47.7%,64,32%,99,38%,56,5%,98,43%,37,14%,4,11%,3,25%
Jaylen Brown,28.0,BOS,Wing,2154,34.2,34,51.7%,59,30%,92,28%,88,13%,96,41%,6,6%,28,23%,9,29%
Kobe Brown,24.8,LAC,Big,156,5.8,7,46.4%,45,43%,32,17%,0,0%,22,17%,64,10%,80,31%,73,40%
Jalen Brunson,28.2,NYK,Point,2300,35.4,79,55.2%,43,21%,83,33%,92,15%,91,48%,21,4%,32,26%,19,30%
Thomas Bryant,27.3,MIA,Big,103,11.5,35,54.5%,40,42%,6,8%,0,0%,3,8%,61,8%,93,42%,87,50%
Thomas Bryant,27.3,IND,Big,814,14.5,48,56.7%,45,43%,13,11%,65,4%,18,15%,81,16%,73,26%,74,42%
Kobe Bufkin,21.1,ATL,Point,116,11.7,8,41.9%,91,40%,30,20%,40,6%,26,26%,75,12%,21,22%,26,34%
Alec Burks,33.3,MIA,Wing,859,17.5,85,58.6%,2,8%,31,13%,53,5%,33,18%,99,36%,70,38%,93,74%
Jared Butler,24.2,PHI,Wing,662,23.6,23,50.6%,41,23%,93,28%,65,6%,84,34%,29,11%,52,31%,38,43%
Jared Butler,24.2,WAS,Point,257,8.9,94,58.5%,74,32%,91,35%,58,8%,81,43%,28,5%,8,20%,9,24%
Jimmy Butler,35.1,MIA,Forward,765,30.6,70,56.7%,95,50%,91,33%,67,6%,88,39%,11,7%,2,4%,2,11%
Jimmy Butler,35.1,GSW,Forward,979,32.7,28,50.8%,86,45%,82,30%,86,8%,86,39%,19,8%,7,8%,4,16%
Matas Buzelis,20.1,CHI,Forward,1440,18.0,51,54.1%,72,41%,19,12%,35,2%,16,15%,79,24%,33,21%,54,44%
Jamal Cain,25.6,NOP,Wing,425,13.3,11,47.3%,61,30%,70,21%,34,3%,57,23%,84,25%,21,21%,48,46%
Kentavious Caldwell-Pope,31.7,ORL,Wing,2277,29.6,57,54.6%,19,15%,11,8%,96,18%,63,26%,73,21%,68,37%,72,59%
Toumani Camara,24.5,POR,Wing,2557,32.8,61,55.5%,79,39%,38,14%,8,0%,19,14%,72,21%,35,26%,50,47%
Vlatko Cancar,27.6,DEN,Big,124,10.4,7,46.2%,28,35%,4,8%,0,0%,2,8%,79,15%,95,42%,93,58%
Clint Capela,30.5,ATL,Big,1173,21.3,45,56.0%,84,73%,72,27%,21,0%,57,27%,0,0%,19,0%,13,0%
Branden Carlson,25.4,OKC,Big,161,9.5,81,61.9%,18,29%,9,10%,0,0%,6,10%,92,21%,92,41%,95,62%
Carlton Carrington,19.3,WAS,Combo,2423,29.6,34,49.3%,17,13%,14,16%,91,17%,61,33%,44,8%,89,45%,77,53%
Devin Carter,22.6,SAC,Combo,344,10.4,7,41.4%,66,27%,56,25%,28,5%,41,30%,61,12%,43,31%,40,43%
Jevon Carter,29.1,CHI,Combo,223,10.6,31,48.4%,9,11%,6,11%,29,5%,3,17%,84,18%,97,54%,97,72%
Wendell Carter,25.5,ORL,Big,1749,25.7,15,49.7%,48,44%,38,19%,88,10%,62,28%,66,10%,56,18%,56,28%
Alex Caruso,30.7,OKC,Forward,1029,19.1,47,54.1%,68,38%,14,9%,37,2%,14,11%,65,19%,65,32%,72,51%
Stephon Castle,20.0,SAS,Combo,2136,26.4,25,47.7%,95,42%,45,22%,52,7%,38,29%,11,5%,24,24%,16,29%
Colin Castleton,24.4,TOR,Big,279,25.5,23,51.6%,45,43%,98,46%,0,0%,90,46%,65,10%,25,1%,38,11%
Julian Champagnie,23.3,SAS,Wing,1916,23.4,58,54.8%,32,20%,8,7%,24,2%,8,9%,80,23%,86,48%,90,71%
Justin Champagnie,23.3,WAS,Big,1261,21.0,79,61.7%,35,39%,22,14%,24,1%,16,15%,81,16%,78,30%,79,46%
Max Christie,21.7,DAL,Wing,940,29.4,24,50.7%,22,17%,73,21%,91,15%,89,36%,38,14%,57,33%,53,47%
Max Christie,21.7,LAL,Wing,1110,25.2,59,55.2%,51,27%,62,19%,48,4%,54,23%,81,24%,36,26%,56,50%
Jaylen Clark,23.1,MIN,Wing,491,13.7,64,55.9%,81,40%,78,23%,18,2%,61,25%,78,23%,8,13%,20,35%
Brandon Clarke,28.1,MEM,Big,1184,18.5,85,63.3%,62,53%,95,43%,27,1%,87,44%,39,3%,22,1%,25,4%
Jordan Clarkson,32.4,UTA,Combo,961,26.0,40,50.0%,22,15%,89,35%,43,6%,82,41%,16,5%,66,39%,48,44%
Nicolas Claxton,25.5,BKN,Big,1889,27.0,49,56.7%,69,59%,85,33%,65,4%,81,38%,30,1%,27,2%,24,3%
Donovan Clingan,20.7,POR,Big,1294,19.3,50,56.9%,87,74%,16,13%,25,1%,13,13%,31,1%,44,11%,39,13%
Noah Clowney,20.3,BKN,Big,1019,22.2,10,47.5%,6,21%,14,12%,44,2%,15,14%,84,18%,99,47%,97,65%
Amir Coffey,27.4,LAC,Wing,1643,22.8,76,57.2%,46,25%,69,20%,83,11%,77,31%,63,19%,33,25%,41,44%
Isaiah Collier,20.1,UTA,Point,1794,25.3,19,45.8%,81,34%,87,33%,36,6%,72,39%,62,7%,13,20%,15,27%
John Collins,27.1,UTA,Big,1218,30.5,59,58.3%,33,37%,79,30%,83,7%,81,37%,65,10%,50,15%,54,25%
Zach Collins,27.0,CHI,Big,536,19.2,65,59.2%,50,45%,50,22%,41,2%,44,23%,56,7%,69,25%,64,32%
Zach Collins,27.0,SAS,Big,398,12.8,15,50.0%,53,47%,40,19%,48,2%,38,22%,61,8%,67,23%,64,31%
Mike Conley,37.1,MIN,Point,1755,24.7,66,53.5%,11,13%,26,19%,21,4%,15,23%,92,18%,81,45%,92,64%
Pat Connaughton,31.8,MIL,Wing,570,14.3,68,56.4%,86,42%,30,13%,22,2%,21,15%,28,11%,55,32%,39,43%
Bilal Coulibaly,20.3,WAS,Wing,1944,33.0,11,47.1%,72,35%,81,24%,76,9%,79,32%,18,8%,31,24%,14,32%
Ricky Council,23.2,PHI,Combo,1154,15.8,11,44.4%,86,36%,40,21%,14,3%,20,24%,48,9%,46,31%,34,40%
Torrey Craig,33.9,BOS,Wing,180,11.3,3,41.9%,53,28%,13,9%,0,0%,6,9%,96,34%,46,30%,78,64%
Torrey Craig,33.9,CHI,Forward,106,11.8,100,67.0%,7,13%,16,9%,33,2%,12,11%,89,29%,95,47%,91,76%
Cade Cunningham,23.1,DET,Combo,2451,35.0,54,52.5%,72,29%,90,35%,64,10%,87,45%,1,1%,26,25%,11,26%
Seth Curry,34.2,CHA,Wing,1056,15.5,92,59.9%,5,9%,46,15%,98,23%,91,38%,53,17%,63,35%,60,52%
Stephen Curry,36.6,GSW,Point,2250,32.1,89,57.4%,21,15%,23,18%,55,8%,25,26%,45,6%,92,53%,89,59%
Dyson Daniels,21.6,ATL,Combo,2568,33.8,66,54.2%,91,38%,92,38%,6,1%,76,39%,23,6%,9,17%,7,23%
Anthony Davis,31.6,LAL,Big,1439,34.3,38,54.7%,37,41%,82,33%,96,16%,95,48%,29,1%,42,10%,36,11%
Anthony Davis,31.6,DAL,Big,265,29.6,12,48.4%,28,35%,68,25%,99,23%,93,48%,24,1%,53,17%,43,17%
Johnny Davis,22.7,WAS,Wing,129,6.2,53,54.3%,88,44%,52,17%,32,3%,39,19%,19,8%,38,28%,21,36%
DeMar DeRozan,35.2,SAC,Wing,2761,35.9,28,51.3%,10,11%,96,33%,100,39%,100,71%,8,6%,5,11%,1,17%
Donte DiVincenzo,27.8,MIN,Combo,1584,25.6,86,56.4%,28,17%,2,11%,3,1%,0,12%,78,15%,99,57%,95,71%
Moussa Diabate,22.8,CHA,Big,1159,16.3,69,59.5%,86,74%,64,24%,26,1%,48,25%,25,1%,25,1%,22,1%
Gradey Dick,21.0,TOR,Wing,1573,29.1,20,50.2%,53,28%,53,17%,79,9%,66,26%,33,13%,59,33%,48,46%
Ousmane Dieng,21.5,OKC,Big,312,10.1,78,60.8%,22,30%,8,9%,72,5%,16,14%,93,21%,86,35%,92,56%
Rob Dillingham,19.8,MIN,Point,442,12.0,53,52.3%,66,27%,58,27%,70,10%,64,37%,51,7%,40,29%,30,36%
Spencer Dinwiddie,31.6,DAL,Combo,2097,26.9,39,49.6%,40,20%,85,32%,37,6%,72,38%,43,8%,55,35%,43,43%
Luka Doncic,25.7,LAL,Point,983,35.1,57,53.0%,30,19%,49,24%,89,15%,70,39%,9,2%,68,40%,51,42%
Luka Doncic,25.7,DAL,Point,780,35.5,75,55.1%,19,15%,75,32%,81,13%,83,45%,8,2%,62,39%,45,41%
Luguentz Dort,25.5,OKC,Wing,2071,29.2,79,57.8%,26,18%,14,10%,58,5%,21,15%,62,18%,88,49%,87,68%
Ayo Dosunmu,24.8,CHI,Wing,1391,30.2,70,56.6%,89,45%,39,14%,13,1%,24,15%,49,17%,29,23%,33,40%
Jeff Dowtin,27.5,PHI,Wing,564,15.3,63,55.9%,56,29%,86,26%,92,15%,94,41%,11,7%,28,23%,12,30%
Andre Drummond,31.2,PHI,Big,741,18.5,18,50.7%,77,68%,64,24%,33,1%,50,25%,41,3%,32,4%,32,7%
Kris Dunn,30.6,LAC,Combo,1779,24.1,55,52.5%,45,21%,66,27%,9,2%,36,29%,99,25%,28,25%,71,51%
Ryan Dunn,21.8,PHX,Forward,1384,18.7,32,51.7%,25,23%,56,21%,39,2%,42,23%,95,32%,39,22%,79,54%
Kevin Durant,36.1,PHX,Big,2262,36.5,72,59.9%,1,13%,88,37%,98,19%,100,56%,58,7%,67,23%,63,30%
Jalen Duren,21.0,DET,Big,2033,26.1,95,69.2%,96,82%,36,18%,19,0%,27,18%,0,0%,0,0%,0,0%
Tari Eason,23.5,HOU,Forward,1405,24.6,54,54.5%,89,46%,47,19%,54,4%,39,23%,42,12%,25,19%,28,31%
Zach Edey,22.6,MEM,Big,1380,20.9,70,59.8%,71,60%,72,27%,39,1%,64,29%,42,3%,40,8%,35,11%
Anthony Edwards,23.2,MIN,Combo,2870,36.3,76,55.3%,63,26%,23,18%,72,11%,34,28%,22,6%,67,39%,55,45%
Justin Edwards,20.9,PHI,Forward,1117,27.2,58,55.1%,39,27%,37,17%,84,8%,63,26%,47,13%,70,35%,67,48%
Kessler Edwards,24.2,DAL,Big,549,16.2,56,57.8%,42,42%,42,20%,41,2%,37,21%,89,19%,55,17%,70,37%
Keon Ellis,24.8,SAC,Combo,1928,24.4,99,64.7%,25,15%,10,14%,26,5%,8,19%,97,23%,84,43%,92,66%
Joel Embiid,30.6,PHI,Big,574,30.2,12,48.2%,22,31%,65,25%,100,24%,95,49%,0,0%,61,20%,45,20%
Tyson Etienne,25.1,BKN,Wing,136,22.7,5,44.3%,18,15%,3,4%,0,0%,1,4%,86,26%,94,55%,98,81%
Drew Eubanks,27.7,UTA,Big,547,14.8,79,61.6%,60,50%,98,47%,0,0%,91,47%,36,2%,24,1%,24,3%
Drew Eubanks,27.7,LAC,Big,133,7.0,30,52.6%,76,67%,82,33%,0,0%,71,33%,0,0%,0,0%,0,0%
Tosan Evbuomwan,23.7,BKN,Forward,628,22.4,9,46.9%,58,34%,88,32%,47,3%,81,36%,46,13%,21,17%,21,30%
Dante Exum,29.3,DAL,Combo,370,18.5,84,56.1%,92,38%,51,23%,15,3%,29,27%,66,13%,22,23%,26,36%
Bruno Fernando,26.2,TOR,Big,129,8.1,55,57.5%,88,75%,55,23%,48,2%,48,25%,0,0%,0,0%,0,0%
Kyle Filipowski,21.0,UTA,Big,1480,20.9,54,57.5%,30,36%,66,25%,37,1%,56,26%,75,14%,68,24%,71,38%
Dorian Finney-Smith,31.5,BKN,Big,579,29.0,77,60.7%,13,27%,1,5%,25,1%,1,6%,95,27%,89,40%,98,66%
Dorian Finney-Smith,31.5,LAL,Wing,1236,28.7,89,59.5%,30,19%,11,8%,10,0%,6,8%,92,30%,76,43%,92,73%
Adam Flagler,24.9,OKC,Combo,108,7.2,2,37.0%,1,7%,5,11%,45,7%,5,17%,54,11%,100,65%,100,76%
Simone Fontecchio,28.9,DET,Wing,1186,15.8,18,49.7%,45,25%,34,14%,56,5%,35,19%,76,22%,62,35%,68,57%
De'Aaron Fox,26.9,SAS,Combo,578,34.0,36,49.3%,70,28%,54,24%,90,17%,79,41%,15,5%,33,26%,21,31%
De'Aaron Fox,26.9,SAC,Point,1662,36.9,55,52.3%,49,23%,85,33%,91,15%,92,48%,30,5%,28,24%,17,29%
Enrique Freeman,24.3,IND,Big,142,7.1,11,48.2%,73,63%,15,13%,0,0%,10,13%,87,19%,38,6%,52,25%
Markelle Fultz,26.4,SAC,Combo,130,6.9,10,42.9%,0,5%,99,57%,98,21%,100,79%,75,14%,0,2%,3,17%
Johnny Furphy,19.9,IND,Wing,290,8.6,4,44.2%,76,37%,9,7%,27,2%,9,10%,84,25%,40,28%,61,53%
Daniel Gafford,26.1,DAL,Big,1225,21.5,96,70.1%,94,81%,39,19%,0,0%,30,19%,0,0%,0,0%,0,0%
Darius Garland,24.8,CLE,Point,2295,30.6,83,56.2%,36,20%,55,26%,77,12%,68,38%,53,7%,53,35%,49,42%
Luka Garza,25.8,MIN,Big,132,7.0,8,46.7%,36,41%,58,23%,0,0%,42,23%,46,4%,82,32%,69,36%
Keyonte George,21.0,UTA,Combo,2066,30.8,32,48.9%,16,13%,80,30%,44,6%,68,36%,39,7%,82,43%,72,51%
Kyshawn George,20.9,WAS,Wing,1771,26.1,16,48.8%,43,24%,31,13%,28,3%,25,16%,35,13%,83,47%,73,61%
Paul George,34.5,PHI,Wing,1321,32.2,36,51.7%,21,17%,51,17%,98,23%,91,39%,20,9%,66,36%,43,45%
Taj Gibson,39.4,CHA,Big,386,11.0,10,47.6%,76,67%,52,22%,86,9%,70,31%,33,2%,0,0%,22,2%
Josh Giddey,22.1,CHI,Point,2113,30.2,58,53.1%,85,35%,70,30%,15,4%,55,34%,70,9%,23,22%,21,31%
Shai Gilgeous-Alexander,26.3,OKC,Point,2595,34.2,87,57.1%,68,28%,81,33%,96,16%,94,48%,6,1%,25,23%,8,23%
Anthony Gill,32.0,WAS,Forward,273,8.8,23,50.0%,91,47%,63,22%,14,1%,46,23%,32,11%,26,19%,23,30%
Collin Gillespie,25.4,PHX,Combo,418,14.9,80,55.7%,26,16%,39,21%,59,7%,33,28%,74,14%,76,41%,80,55%
Rudy Gobert,32.4,MIN,Big,2382,33.1,92,66.8%,98,86%,17,13%,32,1%,14,14%,0,0%,0,0%,0,0%
Jordan Goodwin,26.0,LAL,Combo,512,17.7,46,51.5%,39,19%,68,28%,48,7%,64,34%,98,25%,14,22%,62,46%
Aaron Gordon,29.1,DEN,Big,1444,28.3,76,60.6%,54,47%,30,16%,79,6%,41,23%,68,11%,58,18%,62,30%
Eric Gordon,35.9,PHI,Wing,756,19.4,67,56.3%,44,24%,20,12%,26,2%,19,14%,24,9%,91,53%,74,62%
Jerami Grant,30.6,POR,Big,1523,32.4,9,46.8%,18,29%,23,15%,85,8%,44,23%,87,19%,76,29%,84,48%
AJ Green,25.1,MIL,Wing,1638,22.4,98,62.9%,0,3%,1,3%,76,8%,9,11%,89,28%,97,58%,99,86%
Draymond Green,34.7,GSW,Big,1980,29.1,17,50.6%,19,29%,56,23%,61,4%,56,27%,86,19%,72,26%,77,44%
Jalen Green,22.7,HOU,Wing,2680,32.7,26,51.0%,54,28%,48,16%,89,14%,74,29%,3,5%,69,38%,38,43%
Javonte Green,31.3,CLE,Wing,153,9.6,1,36.8%,70,34%,45,15%,0,0%,24,15%,69,20%,49,31%,58,51%
Javonte Green,31.3,NOP,Wing,1074,21.5,38,51.8%,83,41%,38,14%,15,1%,23,15%,79,23%,22,21%,42,44%
Jeff Green,38.2,HOU,Forward,348,12.9,91,61.4%,12,17%,32,17%,77,7%,49,23%,96,33%,51,27%,84,60%
Josh Green,24.0,CHA,Wing,1884,27.7,54,54.3%,43,24%,35,14%,62,6%,39,19%,97,36%,21,21%,69,57%
Quentin Grimes,24.5,PHI,Combo,942,33.7,83,55.9%,84,34%,3,11%,70,11%,11,21%,51,10%,56,35%,54,45%
Quentin Grimes,24.5,DAL,Wing,1022,21.8,84,58.5%,51,27%,15,10%,81,10%,40,20%,43,16%,69,38%,63,53%
Mouhamed Gueye,22.0,ATL,Big,515,16.1,13,49.1%,41,42%,18,13%,47,2%,17,15%,96,27%,52,16%,75,43%
Rui Hachimura,26.7,LAL,Wing,1868,31.7,91,59.7%,76,37%,50,16%,68,7%,56,23%,56,18%,25,22%,32,40%
Tyrese Haliburton,24.7,IND,Combo,2450,33.6,92,59.2%,20,14%,34,20%,85,14%,62,34%,10,4%,90,48%,75,52%
Tim Hardaway Jr.,32.6,DET,Wing,2152,28.0,44,53.0%,11,12%,32,13%,82,10%,57,23%,50,17%,84,48%,80,65%
James Harden,35.2,LAC,Point,2787,35.3,43,50.5%,28,18%,62,28%,43,7%,58,35%,11,2%,77,45%,70,48%
Jaden Hardy,21.3,DAL,Combo,831,14.6,51,52.2%,56,25%,41,21%,69,11%,53,32%,57,12%,49,32%,46,44%
Elijah Harkless,24.7,UTA,Wing,135,15.0,3,41.4%,9,11%,73,21%,30,3%,59,24%,71,21%,80,45%,83,66%
Gary Harris,30.1,ORL,Wing,709,14.8,40,52.3%,6,10%,26,12%,36,3%,23,15%,94,33%,77,43%,94,75%
Tobias Harris,32.3,DET,Forward,2305,31.6,40,53.5%,30,25%,96,36%,89,9%,93,45%,53,14%,19,16%,25,31%
Josh Hart,29.7,NYK,Wing,2891,37.5,81,58.0%,97,49%,48,16%,64,6%,47,21%,14,8%,24,22%,11,29%
Isaiah Hartenstein,26.5,OKC,Big,1589,27.9,58,58.0%,50,46%,99,48%,53,2%,96,50%,23,1%,28,3%,25,4%
