Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,113.5,,53.0%,,13.3%,,27.3%,,20.0,,113.5,,53.0%,,13.3%,,27.3%,,20.0
DEN,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter,Aaron Gordon,Nikola Jokic,754,58,+10.0,77,121.0,58,55.3%,77,10.1%,46,27.4%,42,17.6,38,111.0,42,52.5%,15,11.2%,73,23.2%,35,19.2
MIA,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Bam Adebayo,484,31,+1.2,15,108.1,31,51.2%,73,10.3%,15,23.6%,15,14.0,69,106.9,38,53.3%,58,14.4%,77,22.9%,77,14.2
BOS,Marcus Smart,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,481,50,+6.5,38,114.8,46,54.4%,58,12.1%,19,24.0%,38,17.3,54,108.3,54,51.6%,50,13.7%,19,30.1%,96,11.9
LAL,D'Angelo Russell,Austin Reaves,LeBron James,Jarred Vanderbilt,Anthony Davis,413,23,-2.5,12,108.0,38,52.3%,23,14.3%,38,27.1%,35,16.9,42,110.5,46,52.4%,54,14.2%,38,27.6%,69,15.4
PHI,James Harden,Tyrese Maxey,Tobias Harris,PJ Tucker,Joel Embiid,303,8,-11.0,23,111.6,27,50.7%,50,12.5%,65,28.7%,54,20.1,8,122.5,8,58.3%,4,7.8%,92,20.1%,38,18.3
PHX,Chris Paul,Devin Booker,Torrey Craig,Kevin Durant,Deandre Ayton,211,69,+12.2,62,119.4,69,57.2%,42,12.8%,62,28.6%,73,24.9,65,107.2,62,50.0%,92,16.4%,15,30.6%,19,20.7
ATL,Trae Young,Dejounte Murray,DeAndre Hunter,John Collins,Clint Capela,195,4,-11.6,4,102.1,4,47.6%,19,14.4%,23,24.3%,4,13.0,23,113.6,27,55.0%,38,12.6%,88,20.8%,62,15.6
MIA,Gabe Vincent,Max Strus,Caleb Martin,Jimmy Butler,Bam Adebayo,193,62,+10.4,27,113.5,8,47.7%,96,8.3%,50,27.8%,46,18.8,77,103.0,77,48.0%,65,15.2%,58,24.2%,8,23.4
LAL,Dennis Schroder,Austin Reaves,Rui Hachimura,LeBron James,Anthony Davis,174,77,+17.8,42,114.9,23,50.3%,46,12.6%,35,26.8%,100,38.9,85,97.1,92,44.0%,85,16.3%,50,26.0%,46,17.0
GSW,Stephen Curry,Klay Thompson,Andrew Wiggins,Draymond Green,Kevon Looney,172,81,+19.8,58,118.6,35,51.8%,65,11.6%,92,39.8%,23,16.5,81,98.8,85,46.2%,35,12.4%,35,27.7%,85,13.2
BOS,Marcus Smart,Malcolm Brogdon,Jaylen Brown,Jayson Tatum,Al Horford,171,96,+31.7,85,122.8,88,58.2%,31,14.0%,12,23.6%,92,33.6,100,91.1,96,43.2%,77,16.1%,81,22.6%,50,16.9
NYK,Jalen Brunson,Quentin Grimes,RJ Barrett,Julius Randle,Mitchell Robinson,171,73,+13.4,8,107.6,15,48.6%,35,13.5%,27,24.4%,96,35.3,96,94.2,88,44.2%,46,12.8%,54,25.8%,73,15.4
MIA,Kyle Lowry,Duncan Robinson,Caleb Martin,Jimmy Butler,Bam Adebayo,168,92,+24.3,96,131.5,81,57.9%,0,17.9%,96,42.9%,65,24.1,62,107.3,15,55.6%,88,16.4%,62,23.8%,100,11.8
SAC,De'Aaron Fox,Kevin Huerter,Harrison Barnes,Keegan Murray,Domantas Sabonis,161,15,-8.8,19,109.3,19,49.7%,92,8.7%,81,30.3%,0,12.7,15,118.1,4,59.2%,81,16.2%,8,31.4%,58,16.3
LAL,D'Angelo Russell,Dennis Schroder,Austin Reaves,LeBron James,Anthony Davis,159,35,+2.9,81,122.0,54,54.5%,81,9.4%,73,29.5%,77,28.0,12,119.1,23,55.2%,27,12.1%,46,26.5%,92,12.4
MEM,Ja Morant,Dillon Brooks,Desmond Bane,Jaren Jackson,Xavier Tillman,157,0,-20.7,0,89.2,0,41.3%,15,14.6%,8,22.4%,62,23.5,46,109.9,35,53.7%,62,15.1%,12,30.7%,65,15.4
MIN,Mike Conley,Anthony Edwards,Nickeil Alexander-Walker,Karl-Anthony Towns,Rudy Gobert,147,19,-3.1,69,119.7,85,58.0%,54,12.2%,31,25.4%,69,24.8,4,122.8,31,54.9%,0,7.4%,69,23.4%,23,19.7
MIA,Kyle Lowry,Max Strus,Caleb Martin,Jimmy Butler,Bam Adebayo,143,88,+20.4,35,114.7,12,48.4%,69,11.2%,69,28.8%,88,32.3,92,94.3,100,42.1%,42,12.8%,27,28.1%,15,21.4
GSW,Stephen Curry,Gary Payton II,Klay Thompson,Andrew Wiggins,Draymond Green,143,27,+0.5,46,115.4,73,57.3%,8,15.4%,85,31.3%,8,13.1,19,114.9,50,52.4%,23,12.1%,42,27.5%,12,22.8
CLE,Darius Garland,Donovan Mitchell,Caris LeVert,Evan Mobley,Jarrett Allen,134,38,+3.2,50,115.7,65,56.2%,27,14.2%,42,27.1%,27,16.5,35,112.5,58,51.6%,96,16.9%,0,40.5%,42,18.3
NYK,Jalen Brunson,Josh Hart,RJ Barrett,Julius Randle,Mitchell Robinson,133,12,-9.3,73,120.3,42,53.1%,4,16.5%,100,46.8%,46,18.8,0,129.6,0,64.6%,19,11.9%,31,27.8%,88,13.0
GSW,Stephen Curry,Jordan Poole,Klay Thompson,Andrew Wiggins,Kevon Looney,133,46,+5.9,31,114.3,50,54.5%,12,15.0%,77,30.3%,19,16.4,50,108.4,19,55.5%,100,17.6%,23,28.8%,31,19.3
BOS,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Robert Williams,127,42,+4.7,54,117.3,77,57.3%,38,13.4%,54,28.1%,12,13.8,31,112.6,12,57.5%,73,15.7%,85,21.4%,27,19.6
DEN,Jamal Murray,Christian Braun,Bruce Brown,Aaron Gordon,Jeff Green,127,54,+9.9,88,122.8,96,59.9%,100,7.9%,4,16.1%,58,20.7,27,113.0,69,49.6%,8,9.9%,65,23.6%,0,26.3
DEN,Jamal Murray,Kentavious Caldwell-Pope,Bruce Brown,Aaron Gordon,Nikola Jokic,124,85,+20.1,92,124.2,62,56.1%,88,8.9%,54,28.1%,85,31.8,73,104.1,62,50.0%,31,12.4%,96,18.0%,54,16.7
DEN,Jamal Murray,Bruce Brown,Michael Porter,Aaron Gordon,Nikola Jokic,108,100,+50.9,100,146.3,100,63.9%,62,12.0%,88,34.8%,81,28.7,88,95.4,81,47.7%,69,15.6%,100,14.8%,4,25.6
BKN,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,Nicolas Claxton,107,65,+12.1,65,119.6,92,58.9%,85,9.3%,0,14.6%,31,16.8,58,107.5,73,49.0%,12,11.2%,4,32.2%,81,13.6
