Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,113.9,,53.4%,,13.0%,,27.2%,,18.8,,113.9,,53.4%,,13.0%,,27.2%,,18.8
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,600,55,+11.6,55,120.0,75,57.4%,50,12.5%,30,26.2%,65,19.4,65,108.4,40,52.6%,80,13.3%,80,20.4%,70,13.8
IND,Tyrese Haliburton,Andrew Nembhard,Aaron Nesmith,Pascal Siakam,Myles Turner,543,75,+15.9,90,130.4,90,62.5%,80,10.3%,45,27.0%,15,12.6,20,114.5,35,52.8%,25,10.7%,15,31.0%,25,19.3
DEN,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter,Aaron Gordon,Nikola Jokic,534,20,-6.9,35,112.5,30,52.8%,45,12.5%,40,26.4%,20,12.8,15,119.4,15,57.3%,35,11.0%,60,25.1%,60,14.8
DAL,Luka Doncic,Kyrie Irving,Derrick Jones Jr.,PJ Washington,Daniel Gafford,446,35,-0.3,30,112.1,40,53.4%,10,14.8%,95,33.2%,40,16.5,35,112.4,45,52.1%,30,10.9%,20,30.1%,55,15.1
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,Rudy Gobert,392,70,+14.8,40,118.6,55,55.3%,20,13.5%,50,27.1%,70,19.9,75,103.8,75,50.3%,50,11.6%,85,20.0%,45,16.9
NYK,Jalen Brunson,Donte DiVincenzo,Josh Hart,OG Anunoby,Isaiah Hartenstein,339,40,+0.1,65,121.2,50,55.2%,40,13.0%,75,29.7%,60,18.9,10,121.1,10,57.9%,40,11.1%,75,23.5%,10,22.8
DAL,Luka Doncic,Kyrie Irving,Derrick Jones Jr.,PJ Washington,Dereck Lively II,286,80,+17.2,50,119.6,25,52.6%,15,13.6%,85,31.9%,75,21.5,85,102.4,95,47.6%,75,12.9%,50,26.1%,35,18.0
LAL,D'Angelo Russell,Austin Reaves,Rui Hachimura,LeBron James,Anthony Davis,225,50,+9.0,60,120.9,70,57.3%,95,7.6%,5,16.7%,25,14.2,40,111.8,30,53.0%,65,12.3%,35,27.8%,80,11.5
PHI,Tyrese Maxey,Kyle Lowry,Kelly Oubre,Tobias Harris,Joel Embiid,214,60,+13.5,75,124.8,65,56.3%,65,10.7%,70,29.5%,80,21.6,45,111.3,85,49.8%,85,13.6%,10,31.4%,40,17.2
OKC,Shai Gilgeous-Alexander,Jalen Williams,Luguentz Dort,Josh Giddey,Chet Holmgren,195,45,+5.6,20,107.7,20,52.0%,85,9.7%,10,17.3%,55,18.6,90,102.1,55,50.9%,100,18.9%,45,26.6%,50,15.7
CLE,Darius Garland,Donovan Mitchell,Max Strus,Isaac Okoro,Evan Mobley,189,25,-5.4,15,107.4,45,53.6%,60,11.1%,0,15.7%,30,14.4,30,112.8,90,48.0%,20,10.6%,25,28.6%,5,23.7
ORL,Jalen Suggs,Gary Harris,Franz Wagner,Paolo Banchero,Wendell Carter,180,65,+14.5,25,110.0,5,49.7%,25,13.3%,90,32.3%,85,22.0,95,95.5,100,45.2%,70,12.8%,100,16.8%,20,20.0
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Kristaps Porzingis,155,85,+17.4,70,124.5,60,55.4%,90,8.4%,65,28.9%,95,29.0,70,107.1,70,50.3%,15,10.4%,70,24.1%,90,10.8
MIA,Tyler Herro,Jaime Jaquez Jr.,Caleb Martin,Nikola Jovic,Bam Adebayo,137,30,-0.7,10,102.9,15,51.6%,30,13.1%,15,19.2%,0,7.0,80,103.6,60,50.4%,10,10.1%,65,24.7%,95,8.4
NOP,CJ McCollum,Trey Murphy III,Brandon Ingram,Herbert Jones,Jonas Valanciunas,135,0,-18.7,0,94.1,0,47.1%,0,17.0%,25,26.1%,10,9.8,25,112.8,65,50.4%,5,8.3%,55,25.7%,75,12.8
MIL,Damian Lillard,Patrick Beverley,Khris Middleton,Bobby Portis,Brook Lopez,125,10,-9.1,80,125.6,80,57.9%,70,10.4%,60,27.8%,100,30.6,0,134.7,5,59.8%,0,5.0%,30,28.1%,65,13.9
CLE,Darius Garland,Donovan Mitchell,Max Strus,Evan Mobley,Jarrett Allen,120,15,-7.6,5,101.7,10,51.5%,5,16.7%,35,26.3%,50,16.7,60,109.2,80,50.0%,55,11.8%,40,27.3%,30,19.1
DAL,Luka Doncic,Kyrie Irving,Josh Green,PJ Washington,Dereck Lively II,116,95,+31.6,95,142.2,95,63.5%,75,10.3%,80,30.5%,45,16.5,50,110.7,25,54.8%,45,11.5%,90,18.6%,15,21.2
OKC,Shai Gilgeous-Alexander,Jalen Williams,Isaiah Joe,Luguentz Dort,Chet Holmgren,111,90,+19.3,85,128.8,85,58.9%,55,11.7%,20,22.2%,35,15.9,55,109.6,20,54.8%,95,18.3%,5,33.3%,0,25.8
BOS,Payton Pritchard,Jrue Holiday,Jayson Tatum,Sam Hauser,Al Horford,101,100,+57.4,100,151.5,100,66.7%,100,5.9%,55,27.7%,90,22.2,100,94.1,50,51.7%,90,14.7%,95,17.4%,100,6.9
NYK,Jalen Brunson,Miles McBride,Donte DiVincenzo,Josh Hart,Isaiah Hartenstein,100,5,-9.4,45,119.0,35,52.9%,35,13.0%,100,37.9%,5,7.6,5,128.4,0,60.6%,55,11.8%,0,36.7%,85,11.1
