Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,26.1,SAC,Big,983,19.7,42,55.3%,54,49%,84,33%,38,2%,74,34%,57,8%,39,8%,40,16%
Steven Adams,32.3,HOU,Big,725,22.7,16,50.4%,89,80%,53,20%,0,0%,42,20%,0,0%,0,0%,0,0%
Bam Adebayo,28.3,MIA,Big,1559,31.2,15,50.1%,16,27%,84,33%,93,11%,89,44%,67,11%,57,18%,55,29%
Ochai Agbaji,25.5,TOR,Wing,624,15.6,6,45.8%,97,52%,21,11%,20,1%,17,12%,70,20%,7,16%,18,36%
Santi Aldama,24.8,MEM,Forward,1197,27.8,71,55.2%,23,26%,83,28%,63,5%,73,33%,27,10%,77,31%,46,41%
Nickeil Alexander-Walker,27.2,ATL,Combo,1891,33.2,57,52.7%,70,29%,18,16%,32,6%,18,22%,82,14%,47,35%,62,49%
Grayson Allen,30.1,PHX,Wing,1091,30.3,59,54.2%,21,17%,61,19%,22,1%,46,21%,15,8%,94,54%,79,62%
Jarrett Allen,27.5,CLE,Big,1258,27.4,76,63.0%,69,60%,86,35%,66,3%,81,38%,30,1%,21,1%,22,2%
Jose Alvarado,27.6,NYK,Combo,123,20.6,68,54.0%,48,23%,4,8%,20,4%,3,12%,90,19%,78,46%,94,65%
Jose Alvarado,27.6,NOP,Point,891,21.8,67,54.7%,24,16%,4,14%,4,2%,0,16%,93,20%,89,48%,98,68%
Kyle Anderson,32.1,UTA,Big,353,18.6,21,51.7%,31,36%,100,59%,47,2%,99,61%,28,1%,27,2%,25,3%
Giannis Antetokounmpo,30.9,MIL,Big,875,29.2,89,66.2%,78,70%,30,13%,92,11%,56,24%,21,0%,35,6%,31,6%
Cole Anthony,25.5,MIL,Point,463,15.0,22,47.8%,42,19%,93,36%,71,14%,93,50%,62,8%,22,23%,20,30%
OG Anunoby,28.3,NYK,Forward,1450,33.0,73,55.3%,79,42%,31,11%,60,4%,38,15%,71,23%,33,20%,56,43%
Deni Avdija,24.8,POR,Forward,1606,33.5,56,52.9%,48,36%,79,26%,67,6%,67,31%,8,4%,65,29%,23,32%
Deandre Ayton,27.3,LAL,Big,1351,28.2,90,66.6%,60,53%,92,40%,84,7%,95,47%,0,0%,0,0%,0,0%
Marvin Bagley,26.6,DAL,Big,113,22.7,46,56.1%,76,69%,65,25%,0,0%,59,25%,0,0%,36,6%,31,6%
Marvin Bagley,26.6,WAS,Big,722,19.0,85,64.6%,82,71%,56,22%,18,0%,49,22%,31,1%,33,5%,32,6%
Ace Bailey,19.2,UTA,Wing,1265,25.3,29,51.1%,46,25%,50,17%,93,17%,84,34%,40,14%,39,27%,34,41%
LaMelo Ball,24.2,CHA,Point,1331,27.7,33,50.8%,33,18%,29,23%,27,5%,22,28%,64,8%,80,46%,76,53%
Lonzo Ball,28.0,CLE,Wing,700,20.0,1,41.0%,10,12%,1,4%,36,2%,1,6%,54,18%,99,64%,99,81%
Paolo Banchero,23.0,ORL,Forward,1585,34.5,23,48.8%,58,38%,88,31%,83,11%,92,42%,6,4%,21,16%,6,19%
Desmond Bane,27.4,ORL,Combo,1890,33.8,75,55.2%,80,33%,65,24%,73,10%,71,35%,37,7%,25,26%,23,33%
Dominick Barlow,22.4,PHI,Big,1079,23.5,50,56.7%,70,61%,37,16%,41,2%,34,17%,80,17%,31,4%,46,21%
