Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Kentavious Caldwell-Pope,29.7,DEN,Combo,2375,31.3,87,57.3%,38,22%,9,10%,97,20%,47,30%,93,21%,31,27%,65,48%
Vlatko Cancar,25.6,DEN,Big,804,16.4,39,56.2%,23,35%,45,19%,29,1%,35,21%,87,17%,78,27%,84,44%
Clint Capela,28.5,ATL,Big,1730,26.6,87,65.4%,96,85%,29,15%,11,0%,19,15%,0,0%,0,0%,0,0%
Jevon Carter,27.1,MIL,Combo,1753,21.7,82,55.9%,9,12%,8,10%,91,19%,42,28%,80,15%,90,45%,89,60%
Wendell Carter,23.5,ORL,Big,1684,29.5,58,59.0%,32,41%,33,15%,89,11%,51,26%,62,8%,73,26%,71,33%
Alex Caruso,28.7,CHI,Combo,1572,23.5,75,55.3%,79,36%,17,12%,9,4%,8,15%,99,24%,25,24%,69,48%
Julian Champagnie,21.3,SAS,Wing,276,18.4,87,59.9%,43,24%,17,10%,33,4%,21,14%,61,16%,84,46%,81,62%
Kennedy Chandler,20.1,MEM,Point,162,9.0,20,46.8%,89,37%,80,35%,17,4%,57,39%,0,0%,26,24%,15,24%
Max Christie,19.7,LAL,Wing,459,13.5,72,56.3%,28,21%,27,11%,74,12%,42,23%,93,29%,44,27%,72,57%
Josh Christopher,20.9,HOU,Combo,682,11.4,17,47.5%,66,29%,99,40%,21,6%,96,46%,21,6%,18,20%,10,26%
Brandon Clarke,26.1,MEM,Big,1066,19.1,88,65.4%,60,58%,92,37%,62,4%,88,41%,37,2%,0,0%,18,2%
Jordan Clarkson,30.4,UTA,Combo,1987,32.6,52,52.3%,21,19%,94,34%,17,5%,81,39%,17,5%,70,37%,54,43%
Nicolas Claxton,23.5,BKN,Big,2270,29.9,95,70.5%,88,78%,55,21%,13,1%,41,22%,20,0%,0,0%,11,0%
Amir Coffey,25.4,LAC,Wing,515,12.6,3,43.6%,74,36%,98,32%,51,6%,85,39%,44,14%,6,11%,8,25%
John Collins,25.1,ATL,Big,2129,30.0,36,55.7%,27,39%,63,24%,75,7%,73,30%,80,13%,61,18%,68,31%
Zach Collins,25.0,SAS,Big,1434,22.8,45,56.9%,30,40%,78,27%,81,8%,78,35%,36,2%,67,23%,56,25%
Mike Conley,35.1,MIN,Point,752,31.3,96,58.5%,11,12%,61,27%,20,4%,35,32%,85,11%,80,45%,89,56%
Mike Conley,35.1,UTA,Point,1274,29.6,54,51.8%,13,16%,52,25%,26,6%,33,31%,70,8%,83,45%,80,53%
Pat Connaughton,29.8,MIL,Wing,1402,23.4,38,52.1%,24,19%,5,5%,6,1%,3,6%,86,26%,89,48%,96,75%
Xavier Cooks,27.2,WAS,Big,109,15.6,63,60.0%,65,59%,96,41%,0,0%,87,41%,0,0%,0,0%,0,0%
Robert Covington,31.9,LAC,Big,697,15.5,36,55.7%,15,29%,18,12%,38,2%,15,14%,68,9%,96,47%,92,57%
Torrey Craig,31.9,PHX,Forward,1936,24.5,62,55.6%,46,31%,52,16%,50,4%,52,20%,84,24%,46,25%,62,49%
Jae Crowder,32.3,MIL,Forward,325,18.1,98,62.6%,6,13%,74,25%,54,4%,70,30%,58,15%,84,42%,76,57%
Jarrett Culver,23.7,ATL,Wing,125,18.0,5,44.6%,96,52%,8,7%,76,12%,31,19%,15,7%,27,21%,14,29%
Cade Cunningham,21.1,DET,Wing,400,33.4,10,45.7%,52,27%,91,27%,94,21%,96,49%,0,2%,30,23%,7,24%
Seth Curry,32.2,BKN,Wing,1181,19.4,71,56.2%,5,9%,15,9%,99,31%,89,40%,48,14%,70,37%,62,51%
Stephen Curry,34.6,GSW,Point,1940,34.7,100,61.9%,20,18%,20,19%,54,10%,26,29%,50,6%,91,48%,83,53%
Dyson Daniels,19.6,NOP,Wing,943,16.6,22,49.2%,69,34%,81,24%,15,2%,58,26%,49,14%,40,26%,36,40%
Anthony Davis,29.6,LAL,Big,1904,34.0,49,57.3%,47,47%,85,32%,93,14%,95,46%,32,1%,39,6%,32,7%
Johnny Davis,20.7,WAS,Wing,361,17.2,4,44.0%,41,24%,80,24%,70,11%,79,35%,32,11%,50,30%,41,41%
Terence Davis,25.5,SAC,Wing,787,13.1,56,54.5%,40,24%,13,8%,32,4%,12,12%,64,17%,87,48%,85,64%
DeMar DeRozan,33.2,CHI,Wing,2673,36.1,42,52.5%,32,21%,84,25%,100,44%,100,69%,3,3%,2,6%,1,9%
Dewayne Dedmon,33.2,MIA,Big,349,11.7,29,54.3%,44,46%,79,27%,30,1%,67,29%,48,4%,64,21%,58,25%
Matthew Dellavedova,32.1,SAC,Point,158,7.5,7,42.6%,4,9%,54,26%,13,3%,24,29%,89,14%,96,49%,96,63%
Donte DiVincenzo,25.7,GSW,Wing,1873,26.0,82,57.8%,25,19%,24,11%,25,3%,17,13%,66,17%,91,51%,87,67%
Moussa Diabate,20.8,LAC,Big,141,8.3,5,46.8%,75,68%,75,26%,0,0%,53,26%,53,6%,0,0%,30,6%
Mamadi Diakite,25.8,CLE,Big,131,9.4,12,50.0%,20,32%,57,22%,68,5%,56,27%,96,24%,58,16%,80,41%
Hamidou Diallo,24.3,DET,Wing,972,17.4,79,57.4%,98,58%,89,27%,67,10%,84,37%,1,3%,0,2%,0,5%
Gorgui Dieng,32.8,SAS,Big,259,9.3,12,50.0%,7,19%,5,7%,90,11%,30,19%,66,9%,98,54%,96,63%
Ousmane Dieng,19.4,OKC,Forward,515,13.6,20,49.3%,56,34%,28,10%,56,4%,26,15%,68,17%,70,35%,66,52%
Spencer Dinwiddie,29.6,DAL,Combo,1792,33.8,78,55.5%,54,26%,65,23%,37,8%,54,31%,61,10%,54,33%,55,43%
Spencer Dinwiddie,29.6,BKN,Point,917,35.3,24,47.4%,74,28%,65,28%,39,7%,46,35%,41,4%,48,32%,41,36%
Luka Doncic,23.7,DAL,Point,2390,36.2,85,56.8%,57,25%,78,34%,48,10%,72,44%,9,2%,43,30%,33,32%
Luguentz Dort,23.5,OKC,Wing,2257,30.5,13,46.8%,87,42%,37,13%,27,3%,27,16%,28,11%,55,31%,44,42%
Ayo Dosunmu,22.8,CHI,Combo,2030,25.4,71,54.8%,93,48%,21,14%,30,7%,18,20%,82,15%,11,17%,22,32%
Jeff Dowtin,25.5,TOR,Combo,237,11.9,33,50.0%,52,25%,87,29%,87,14%,90,43%,84,16%,6,16%,21,31%
Goran Dragic,36.5,CHI,Combo,781,15.3,31,49.8%,45,25%,66,23%,72,11%,66,35%,44,9%,51,32%,46,41%
Andre Drummond,29.2,CHI,Big,831,12.4,65,60.4%,95,85%,28,15%,0,0%,18,15%,21,0%,17,0%,13,1%
Chris Duarte,25.4,IND,Wing,876,19.1,6,44.6%,49,26%,38,14%,79,12%,57,26%,70,19%,48,29%,54,48%
David Duke,23.1,BKN,Combo,178,10.5,9,45.5%,100,66%,13,11%,6,3%,3,15%,52,10%,2,10%,2,19%
Kris Dunn,28.6,UTA,Point,555,25.2,93,57.7%,78,29%,100,55%,4,1%,96,56%,13,2%,9,13%,9,15%
Kevin Durant,34.1,BKN,Big,1402,36.0,67,60.8%,4,15%,90,35%,99,25%,99,60%,36,1%,65,23%,55,24%
Kevin Durant,34.1,PHX,Big,269,33.7,90,66.1%,0,8%,87,34%,100,29%,100,63%,48,4%,70,25%,62,29%
Jalen Duren,19.0,DET,Big,1652,24.7,85,64.9%,91,78%,48,20%,28,1%,39,22%,19,0%,0,0%,9,0%
Tari Eason,21.5,HOU,Forward,1680,20.5,16,48.9%,96,56%,58,18%,24,2%,50,20%,18,7%,28,17%,20,24%
Anthony Edwards,21.2,MIN,Wing,2837,35.9,45,53.0%,79,37%,50,17%,75,12%,66,28%,3,4%,53,31%,24,34%
Kessler Edwards,22.2,SAC,Wing,296,14.1,64,55.4%,48,25%,23,10%,26,3%,19,13%,83,24%,70,37%,80,61%
Joel Embiid,28.6,PHI,Big,2283,34.6,52,57.8%,25,37%,83,29%,99,21%,96,51%,25,1%,48,11%,39,12%
Drew Eubanks,25.7,POR,Big,1566,20.1,89,65.8%,65,60%,85,32%,58,4%,81,36%,33,1%,33,3%,28,4%
Bruno Fernando,24.2,HOU,Big,348,11.2,22,52.7%,78,69%,81,28%,37,2%,68,30%,32,1%,0,0%,16,1%
Dorian Finney-Smith,29.5,BKN,Big,718,27.6,3,44.7%,18,31%,7,8%,12,1%,5,8%,93,21%,92,40%,93,61%
Dorian Finney-Smith,29.5,DAL,Forward,1284,32.1,52,54.2%,32,26%,10,6%,10,1%,10,7%,90,30%,78,37%,86,67%
Malachi Flynn,24.5,TOR,Combo,623,13.3,7,45.0%,12,15%,48,19%,69,11%,52,31%,65,11%,88,44%,83,55%
Simone Fontecchio,26.9,UTA,Wing,723,15.4,16,47.3%,21,18%,44,15%,57,8%,45,23%,56,15%,80,43%,74,58%
Bryn Forbes,29.3,MIN,Wing,241,9.7,1,39.3%,9,11%,82,24%,87,16%,90,41%,62,16%,58,32%,58,49%
Trent Forrest,24.4,ATL,Combo,238,12.6,15,47.2%,81,37%,100,59%,0,0%,100,59%,0,2%,0,2%,0,4%
Evan Fournier,30.0,NYK,Wing,453,17.5,9,45.1%,6,10%,55,17%,53,7%,50,24%,66,17%,90,49%,86,67%
De'Aaron Fox,24.9,SAC,Point,2431,33.3,80,55.9%,52,24%,87,36%,83,16%,89,52%,30,3%,20,21%,20,25%
Markelle Fultz,24.4,ORL,Combo,1777,29.6,63,53.9%,85,40%,88,30%,93,19%,98,49%,8,5%,1,7%,1,12%
Wenyen Gabriel,25.6,LAL,Big,983,14.9,75,62.0%,77,69%,42,18%,18,1%,32,19%,61,8%,35,4%,40,12%
Daniel Gafford,24.1,WAS,Big,1598,20.5,96,73.1%,81,72%,72,25%,42,2%,62,28%,0,0%,0,0%,0,0%
Darius Garland,22.8,CLE,Point,2447,35.5,67,53.6%,43,22%,70,31%,72,14%,78,45%,33,3%,41,30%,35,33%
Usman Garuba,20.6,HOU,Big,901,12.0,25,53.6%,56,55%,32,15%,0,0%,22,15%,82,15%,54,15%,64,30%
Luka Garza,23.8,MIN,Big,202,9.6,78,62.8%,37,43%,59,22%,49,3%,48,25%,41,3%,82,30%,70,32%
Rudy Gay,36.2,UTA,Forward,812,14.5,2,43.0%,12,17%,70,25%,92,15%,84,40%,56,15%,54,27%,52,43%
Paul George,32.5,LAC,Wing,1937,34.6,52,54.0%,42,24%,48,16%,93,21%,83,37%,11,6%,59,33%,36,39%
Taj Gibson,37.4,WAS,Big,444,9.9,40,56.2%,44,46%,59,22%,95,15%,82,38%,67,9%,44,8%,47,17%
Josh Giddey,20.1,OKC,Forward,2368,31.2,30,51.7%,72,39%,96,38%,40,4%,88,41%,0,3%,30,17%,10,20%
Shai Gilgeous-Alexander,24.3,OKC,Point,2402,35.3,63,53.4%,91,40%,85,35%,76,15%,87,50%,7,1%,7,9%,4,10%
Anthony Gill,30.0,WAS,Big,568,10.7,32,55.1%,53,52%,73,26%,31,1%,56,27%,79,13%,44,8%,50,21%
Rudy Gobert,30.3,MIN,Big,2148,30.7,90,66.1%,98,87%,20,13%,14,1%,13,13%,0,0%,14,0%,8,0%
Jordan Goodwin,24.0,WAS,Combo,1042,18.9,36,50.6%,61,28%,90,30%,74,12%,89,42%,35,7%,22,23%,18,30%
Aaron Gordon,27.1,DEN,Forward,2052,30.2,96,60.7%,100,61%,40,14%,70,5%,46,20%,16,6%,12,13%,8,19%
Eric Gordon,33.9,LAC,Wing,541,24.6,85,59.3%,37,23%,50,16%,5,1%,29,17%,16,7%,94,53%,79,60%
Eric Gordon,33.9,HOU,Wing,1414,30.1,49,53.5%,54,28%,74,22%,15,2%,53,24%,4,4%,81,44%,54,47%
Devonte' Graham,27.7,NOP,Combo,792,15.0,45,51.8%,4,11%,4,9%,18,6%,2,14%,42,9%,100,66%,97,75%
Devonte' Graham,27.7,SAS,Combo,525,26.3,44,51.8%,6,11%,7,9%,71,11%,20,21%,39,8%,97,60%,96,68%
Jerami Grant,28.6,POR,Forward,2245,35.6,60,55.5%,62,36%,54,16%,88,13%,68,29%,52,14%,42,22%,38,35%
AJ Green,23.1,MIL,Combo,284,10.1,98,61.7%,0,5%,0,2%,35,8%,0,10%,94,21%,99,64%,100,86%
Draymond Green,32.7,GSW,Big,2298,31.5,50,57.3%,42,45%,79,27%,45,3%,71,30%,65,8%,60,17%,57,25%
JaMychal Green,32.4,GSW,Big,784,13.8,80,63.1%,45,46%,15,11%,52,3%,16,14%,85,16%,68,24%,78,39%
Jalen Green,20.7,HOU,Combo,2600,34.2,25,48.8%,76,33%,35,17%,79,13%,49,30%,11,5%,49,32%,30,37%
Javonte Green,29.3,CHI,Wing,465,14.5,94,62.3%,99,59%,30,11%,7,1%,13,12%,57,15%,9,14%,16,29%
Jeff Green,36.2,DEN,Big,1055,18.9,30,54.6%,42,45%,64,24%,64,5%,65,29%,71,11%,56,16%,58,27%
Josh Green,22.0,DAL,Wing,1512,25.2,96,62.6%,85,41%,54,17%,14,2%,32,19%,89,28%,7,12%,37,40%
AJ Griffin,19.2,ATL,Wing,1369,19.6,65,55.4%,13,14%,95,30%,65,9%,89,39%,50,14%,58,32%,52,47%
Blake Griffin,33.6,BOS,Big,526,14.2,61,59.5%,38,43%,13,9%,0,0%,7,9%,88,18%,83,30%,87,48%
Quentin Grimes,22.5,NYK,Wing,2088,30.3,87,60.0%,54,29%,3,5%,12,2%,3,6%,84,24%,75,40%,85,64%
Rui Hachimura,24.7,LAL,Forward,726,22.0,34,52.0%,70,39%,66,22%,90,14%,82,36%,22,8%,32,18%,26,26%
Rui Hachimura,24.7,WAS,Wing,726,24.2,50,53.7%,56,30%,73,22%,95,22%,94,44%,22,9%,15,17%,9,26%
Tyrese Haliburton,22.7,IND,Combo,1882,33.6,92,58.8%,62,28%,49,20%,34,7%,36,27%,15,5%,75,40%,60,45%
R.J. Hampton,21.7,ORL,Combo,332,13.3,55,52.9%,34,22%,71,25%,55,10%,65,34%,70,12%,48,32%,57,44%
R.J. Hampton,21.7,DET,Wing,384,18.3,38,52.0%,55,29%,68,20%,41,5%,56,26%,30,11%,62,34%,49,45%
Tim Hardaway Jr.,30.6,DAL,Wing,2140,30.2,46,53.1%,17,16%,34,12%,66,10%,40,22%,68,18%,81,44%,83,62%
James Harden,33.2,PHI,Point,2131,36.7,65,53.5%,59,25%,37,23%,37,7%,30,30%,17,3%,67,42%,59,45%
Jaden Hardy,19.3,DAL,Combo,641,14.9,62,53.8%,80,37%,10,11%,46,9%,13,20%,56,10%,57,34%,56,44%
Montrezl Harrell,28.8,PHI,Big,657,12.4,63,60.0%,85,75%,56,22%,26,1%,45,23%,23,0%,22,1%,19,2%
Gary Harris,28.1,ORL,Wing,1183,24.6,91,60.7%,19,17%,9,7%,46,6%,16,13%,97,30%,74,39%,91,70%
Joe Harris,31.2,BKN,Wing,1508,20.4,95,62.4%,13,14%,6,6%,38,5%,8,11%,79,22%,93,53%,97,75%
Kevon Harris,25.4,ORL,Combo,430,13.1,49,52.0%,94,50%,11,11%,1,2%,1,13%,72,13%,27,25%,36,38%
Tobias Harris,30.3,PHI,Wing,2434,32.9,79,57.6%,64,33%,83,24%,49,6%,74,31%,59,16%,26,21%,29,37%
Shaquille Harrison,29.1,POR,Combo,113,22.7,10,45.6%,97,50%,18,13%,56,10%,25,23%,1,3%,26,25%,15,28%
Josh Hart,27.7,POR,Wing,1704,33.4,62,55.2%,95,52%,46,15%,40,5%,34,20%,40,13%,11,15%,13,28%
Josh Hart,27.7,NYK,Wing,741,29.6,99,66.6%,94,51%,58,18%,13,2%,34,20%,26,10%,17,18%,15,29%
Isaiah Hartenstein,24.5,NYK,Big,1597,19.5,33,55.1%,68,61%,75,26%,39,2%,65,29%,59,7%,33,4%,37,11%
Sam Hauser,24.9,BOS,Wing,1169,15.2,98,64.0%,9,11%,2,3%,19,2%,1,6%,94,30%,95,54%,99,83%
Jaxson Hayes,22.4,NOP,Big,523,14.6,59,59.3%,75,67%,53,21%,29,1%,43,22%,55,6%,36,5%,38,11%
Killian Hayes,21.3,DET,Point,2131,28.1,9,42.8%,9,12%,89,36%,93,18%,93,54%,76,9%,28,25%,37,34%
Gordon Hayward,32.6,CHA,Wing,1576,31.5,39,52.2%,28,20%,97,32%,97,23%,99,55%,12,6%,20,19%,7,25%
Juan Hernangomez,27.1,TOR,Forward,577,14.8,18,49.1%,66,38%,6,5%,22,2%,12,7%,82,24%,62,32%,74,55%
Willy Hernangomez,28.4,NOP,Big,375,13.4,24,53.5%,84,75%,46,20%,38,2%,38,22%,28,1%,29,3%,23,3%
Tyler Herro,22.8,MIA,Wing,2327,34.7,48,53.5%,15,15%,89,27%,77,12%,86,39%,21,9%,69,37%,51,46%
Buddy Hield,29.9,IND,Wing,2480,31.0,88,60.0%,26,19%,11,8%,59,8%,25,16%,36,12%,92,52%,84,64%
Haywood Highsmith,25.9,MIA,Big,914,18.7,15,51.0%,14,29%,35,16%,67,5%,36,21%,96,24%,73,25%,88,50%
