Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,23.1,TOR,Big,1113,20.6,22,52.4%,48,49%,70,25%,40,2%,60,27%,72,11%,51,13%,53,24%
Steven Adams,29.3,MEM,Big,1132,27.0,62,59.7%,88,77%,58,22%,10,0%,44,22%,22,0%,0,0%,12,0%
Bam Adebayo,25.3,MIA,Big,2594,34.6,28,54.3%,31,40%,99,49%,87,10%,99,59%,0,0%,18,1%,14,1%
Ochai Agbaji,22.5,UTA,Combo,1159,22.3,67,54.4%,49,25%,33,17%,3,2%,10,19%,100,24%,45,31%,84,56%
Santi Aldama,21.8,MEM,Big,1625,21.1,42,56.5%,21,34%,36,16%,43,2%,32,19%,92,21%,77,27%,88,48%
Nickeil Alexander-Walker,24.2,MIN,Wing,353,16.1,28,50.4%,36,22%,35,13%,61,9%,36,21%,76,21%,66,35%,72,57%
Nickeil Alexander-Walker,24.2,UTA,Combo,486,15.7,93,59.2%,51,25%,36,18%,40,8%,31,26%,78,15%,60,34%,71,48%
Grayson Allen,27.1,MIL,Wing,1968,27.3,78,57.3%,45,25%,33,12%,9,1%,19,13%,46,14%,88,48%,81,62%
Jarrett Allen,24.5,CLE,Big,2212,32.5,85,64.7%,76,68%,74,26%,58,4%,72,30%,33,1%,18,0%,17,1%
Jose Alvarado,24.6,NOP,Point,1285,21.1,35,50.0%,70,28%,30,22%,11,2%,13,24%,91,15%,57,34%,63,48%
Kyle Anderson,29.1,MIN,Forward,1954,28.3,56,55.1%,60,34%,100,43%,48,4%,94,47%,30,10%,4,9%,4,19%
Giannis Antetokounmpo,27.9,MIL,Big,2021,32.1,47,57.2%,64,59%,44,19%,88,11%,72,30%,21,0%,47,11%,38,11%
Thanasis Antetokounmpo,30.3,MIL,Big,113,6.0,1,40.6%,73,66%,34,16%,46,3%,30,18%,64,8%,43,8%,45,16%
Cole Anthony,22.5,ORL,Point,1524,25.4,52,51.8%,39,21%,72,31%,87,17%,83,48%,22,3%,37,28%,28,31%
OG Anunoby,25.3,TOR,Wing,2385,35.6,66,55.7%,78,37%,51,17%,55,7%,52,24%,68,18%,26,21%,35,39%
Ryan Arcidiacono,28.6,POR,Point,127,18.2,0,34.5%,0,3%,41,24%,74,14%,54,38%,0,0%,100,59%,91,59%
Deni Avdija,21.8,WAS,Wing,1998,26.3,24,49.4%,86,41%,61,19%,31,4%,39,22%,25,10%,44,27%,28,37%
Deandre Ayton,24.3,PHX,Big,2033,30.4,59,59.3%,33,41%,97,41%,96,16%,98,57%,0,0%,28,3%,21,3%
Udoka Azubuike,23.1,UTA,Big,309,12.4,99,83.6%,89,78%,58,22%,0,0%,42,22%,0,0%,0,0%,0,0%
Marvin Bagley,23.6,DET,Big,978,23.3,35,55.7%,36,43%,92,36%,73,6%,90,42%,50,5%,48,11%,44,15%
Patrick Baldwin Jr.,20.0,GSW,Wing,156,7.1,86,59.9%,7,10%,21,10%,21,3%,15,13%,58,15%,99,62%,97,77%
LaMelo Ball,21.2,CHA,Point,1267,35.2,43,51.3%,48,23%,15,18%,43,8%,20,26%,63,7%,76,44%,76,51%
Mohamed Bamba,24.5,ORL,Big,658,16.5,62,59.5%,29,40%,10,9%,66,5%,14,14%,53,6%,94,41%,87,47%
Paolo Banchero,20.0,ORL,Forward,2428,33.7,8,46.5%,64,37%,76,25%,96,16%,90,42%,2,3%,34,19%,14,21%
Desmond Bane,24.4,MEM,Wing,1837,31.7,76,57.0%,57,30%,72,22%,54,7%,66,28%,13,7%,64,35%,42,41%
Dalano Banton,23.0,TOR,Combo,229,8.8,22,48.5%,87,40%,55,21%,26,6%,35,27%,53,10%,24,23%,24,33%
Dominick Barlow,19.4,SAS,Big,340,14.2,26,53.6%,76,69%,61,23%,75,7%,69,30%,0,0%,22,1%,16,1%
Harrison Barnes,30.4,SAC,Wing,2658,32.4,66,55.6%,72,36%,83,24%,19,2%,60,27%,51,14%,34,23%,31,37%
Scottie Barnes,21.3,TOR,Wing,2668,34.7,23,49.2%,81,38%,95,30%,72,11%,92,42%,15,7%,9,13%,3,20%
RJ Barrett,22.4,NYK,Wing,2474,33.9,18,48.7%,84,40%,90,27%,26,3%,72,30%,23,9%,23,20%,17,29%
Will Barton,31.8,WAS,Wing,767,20.2,21,49.1%,23,19%,72,22%,84,15%,82,36%,24,9%,64,35%,48,45%
Will Barton,31.8,TOR,Combo,201,12.6,8,45.3%,20,18%,27,16%,82,13%,44,29%,62,11%,84,42%,78,53%
Charles Bassey,22.0,SAS,Big,438,14.6,81,63.3%,72,65%,73,26%,65,5%,74,31%,30,1%,32,3%,27,4%
Keita Bates-Diop,26.8,SAS,Forward,1410,21.4,72,57.1%,82,46%,78,26%,20,2%,64,28%,36,11%,22,15%,32,27%
Nicolas Batum,33.9,LAC,Forward,1699,21.8,82,58.1%,10,15%,2,2%,30,3%,2,5%,96,34%,88,46%,96,80%
Darius Bazley,22.4,OKC,Big,530,14.7,9,49.0%,64,59%,25,14%,56,4%,29,18%,70,9%,52,14%,53,23%
Bradley Beal,29.3,WAS,Combo,1672,33.5,76,55.3%,72,31%,76,26%,98,20%,97,46%,22,6%,12,18%,9,23%
Malik Beasley,25.9,UTA,Wing,1465,26.6,42,52.7%,1,7%,44,15%,64,9%,52,24%,52,15%,95,55%,91,69%
Malik Beasley,25.9,LAL,Wing,611,23.5,32,51.2%,5,9%,43,15%,56,8%,43,23%,29,11%,97,58%,90,68%
MarJon Beauchamp,21.1,MIL,Wing,588,13.1,14,46.9%,48,26%,11,8%,58,8%,26,16%,89,28%,50,30%,74,57%
Davis Bertans,30.0,DAL,Big,457,10.9,82,63.6%,1,9%,0,1%,27,1%,1,3%,95,23%,100,66%,100,89%
Patrick Beverley,34.3,LAL,Combo,1210,26.9,48,51.9%,18,17%,39,18%,2,2%,17,20%,97,23%,76,40%,92,62%
Patrick Beverley,34.3,CHI,Point,605,27.5,41,50.9%,30,20%,7,14%,0,1%,2,15%,100,26%,65,39%,100,65%
Saddiq Bey,23.6,ATL,Wing,626,25.0,83,58.6%,63,32%,32,12%,34,5%,28,17%,88,28%,34,23%,61,51%
Saddiq Bey,23.6,DET,Wing,1487,28.6,25,49.7%,70,35%,52,17%,52,6%,47,24%,42,13%,47,29%,45,42%
Khem Birch,30.1,TOR,Big,155,7.8,68,60.9%,48,48%,95,39%,72,6%,94,45%,55,6%,0,0%,30,6%
Goga Bitadze,23.3,ORL,Big,244,15.3,53,58.0%,62,58%,78,27%,0,0%,56,27%,0,0%,53,15%,44,15%
Goga Bitadze,23.3,IND,Big,176,9.3,12,50.0%,70,63%,8,8%,59,4%,12,13%,0,0%,71,25%,56,25%
Bismack Biyombo,30.2,PHX,Big,822,13.7,55,58.0%,57,56%,99,44%,0,0%,93,44%,0,0%,0,0%,0,0%
Bogdan Bogdanovic,30.2,ATL,Wing,1503,27.8,74,56.6%,12,14%,57,18%,79,12%,70,30%,45,14%,79,43%,71,57%
Bojan Bogdanovic,33.5,DET,Forward,1892,32.1,68,57.0%,16,21%,88,29%,86,13%,86,41%,38,12%,48,26%,40,38%
Bol Bol,23.0,ORL,Big,1489,21.3,54,58.0%,32,40%,82,28%,83,9%,82,37%,52,6%,59,17%,52,23%
Devin Booker,26.0,PHX,Wing,1828,34.5,60,54.7%,34,22%,93,29%,95,22%,97,51%,6,4%,32,23%,11,27%
Brandon Boston Jr.,20.9,LAC,Wing,184,10.3,7,44.6%,56,30%,93,29%,92,21%,97,49%,7,4%,15,16%,3,21%
Chris Boucher,29.8,TOR,Big,1493,19.7,37,55.8%,52,51%,24,14%,51,3%,27,17%,87,17%,55,15%,69,32%
James Bouknight,22.1,CHA,Combo,450,15.0,4,44.6%,48,25%,22,16%,24,6%,22,22%,51,10%,87,43%,79,53%
Malaki Branham,19.5,SAS,Combo,1433,22.1,34,50.1%,36,22%,72,25%,83,13%,78,38%,45,9%,44,31%,42,40%
Christian Braun,21.5,DEN,Combo,1062,15.6,90,58.2%,96,50%,25,16%,8,3%,11,19%,74,14%,13,18%,20,31%
Mikal Bridges,26.2,PHX,Wing,2035,36.4,44,52.9%,46,25%,94,30%,82,14%,93,43%,60,16%,13,16%,21,32%
Mikal Bridges,26.2,BKN,Wing,922,34.2,56,54.4%,26,20%,96,32%,86,16%,95,48%,46,14%,21,19%,23,33%
Oshae Brissett,24.4,IND,Forward,1034,15.9,6,46.3%,80,45%,32,11%,26,2%,24,13%,42,12%,58,30%,50,42%
Malcolm Brogdon,29.9,BOS,Combo,1731,25.8,88,57.5%,70,30%,62,23%,57,10%,60,33%,27,6%,40,31%,33,37%
Dillon Brooks,26.8,MEM,Wing,2209,30.3,15,46.9%,31,21%,86,26%,68,11%,83,37%,19,8%,60,34%,46,42%
Bruce Brown,26.2,DEN,Wing,2234,27.9,62,55.2%,83,40%,77,23%,45,6%,67,29%,40,13%,18,19%,21,32%
Jaylen Brown,26.0,BOS,Wing,2400,35.8,61,55.1%,67,34%,65,20%,83,14%,77,33%,7,5%,45,28%,22,33%
Moses Brown,23.1,LAC,Big,212,6.9,60,59.4%,97,85%,28,15%,0,0%,17,15%,0,0%,0,0%,0,0%
Troy Brown,23.3,LAL,Wing,1844,24.3,58,54.6%,44,24%,25,11%,46,6%,26,16%,85,25%,61,34%,78,59%
Jalen Brunson,26.2,NYK,Point,2375,34.9,72,54.8%,41,21%,96,41%,67,13%,91,54%,48,6%,17,19%,17,25%
Thomas Bryant,25.3,DEN,Big,168,10.6,10,49.1%,52,51%,72,25%,92,14%,84,39%,0,0%,45,10%,36,10%
Thomas Bryant,25.3,LAL,Big,858,20.9,94,69.4%,59,57%,55,21%,80,8%,66,29%,45,4%,46,10%,43,15%
Reggie Bullock,31.6,DAL,Forward,2351,30.1,70,57.1%,2,10%,4,3%,32,3%,6,6%,100,43%,82,41%,98,84%
Alec Burks,31.3,DET,Wing,1122,22.0,57,54.5%,11,13%,78,23%,85,16%,87,39%,31,11%,68,37%,56,48%
Jimmy Butler,33.1,MIA,Forward,2138,33.4,64,56.1%,76,45%,94,37%,80,9%,92,46%,10,5%,0,4%,0,10%
John Butler,19.9,POR,Big,170,12.2,0,36.4%,6,18%,12,9%,84,9%,28,18%,68,9%,99,56%,96,64%
Jamal Cain,23.6,MIA,Forward,220,14.7,80,57.8%,92,51%,68,23%,18,2%,58,25%,66,17%,2,8%,22,25%
