Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,26.1,SAC,Big,1079,20.4,46,56.1%,36,66%,54,45%,18,0%,51,44%,14,27%,93,42%,49,35%
Steven Adams,32.3,HOU,Big,725,22.7,15,50.4%,10,57%,20,30%,0,,18,30%,0,,0,,0,
Bam Adebayo,28.3,MIA,Big,1627,31.3,14,50.3%,37,66%,36,40%,70,44%,40,41%,23,31%,56,36%,43,34%
Ochai Agbaji,25.5,TOR,Wing,624,15.6,8,45.8%,36,63%,11,28%,76,50%,14,30%,3,22%,0,14%,2,19%
Santi Aldama,24.8,MEM,Forward,1197,27.8,71,55.2%,82,71%,84,48%,55,35%,88,46%,98,54%,20,29%,53,35%
Nickeil Alexander-Walker,27.2,ATL,Combo,1916,33.0,57,52.7%,35,59%,36,38%,54,40%,35,39%,79,46%,40,33%,64,37%
Grayson Allen,30.1,PHX,Wing,1146,30.2,48,53.4%,56,67%,38,39%,87,56%,47,41%,50,39%,62,36%,52,36%
Jarrett Allen,27.5,CLE,Big,1351,27.6,83,64.1%,90,77%,80,51%,71,44%,79,50%,0,0%,0,25%,0,10%
Jose Alvarado,27.6,NOP,Point,891,21.8,69,54.7%,81,68%,38,41%,21,33%,33,40%,39,35%,69,37%,59,36%
Jose Alvarado,27.6,NYK,Combo,157,19.7,72,55.0%,78,69%,95,60%,1,0%,48,43%,0,50%,14,29%,50,35%
Kyle Anderson,32.1,UTA,Big,353,18.6,19,51.7%,35,66%,44,43%,94,100%,48,44%,0,0%,0,50%,0,33%
Giannis Antetokounmpo,30.9,MIL,Big,875,29.2,91,66.2%,93,79%,33,40%,51,28%,26,34%,0,100%,79,39%,82,41%
Cole Anthony,25.5,MIL,Point,463,15.0,23,47.8%,25,51%,65,47%,79,50%,77,48%,46,38%,18,28%,24,30%
OG Anunoby,28.3,NYK,Forward,1512,32.9,73,55.7%,63,67%,24,33%,45,32%,24,33%,81,43%,7,27%,63,36%
Deni Avdija,24.8,POR,Forward,1606,33.5,49,52.9%,53,64%,45,40%,76,47%,61,41%,93,45%,55,33%,43,34%
Deandre Ayton,27.3,LAL,Big,1406,28.1,91,66.5%,94,79%,87,54%,88,53%,88,53%,0,,0,,0,
Marvin Bagley,26.6,WAS,Big,722,19.0,84,64.6%,70,72%,49,44%,94,100%,56,45%,0,50%,0,43%,94,44%
Marvin Bagley,26.6,DAL,Big,161,23.1,78,63.3%,38,66%,83,53%,0,,86,53%,0,,0,67%,0,67%
Ace Bailey,19.2,UTA,Wing,1322,25.4,28,50.8%,49,66%,74,48%,51,38%,60,43%,12,28%,57,35%,29,33%
LaMelo Ball,24.2,CHA,Point,1376,27.5,44,51.1%,46,60%,21,36%,27,36%,17,36%,79,45%,53,36%,65,37%
Lonzo Ball,28.0,CLE,Wing,700,20.0,2,41.0%,12,56%,56,43%,11,0%,9,27%,5,23%,13,28%,11,27%
Paolo Banchero,23.0,ORL,Forward,1660,34.6,24,48.8%,51,64%,47,40%,47,32%,45,38%,76,43%,14,28%,24,31%
Desmond Bane,27.4,ORL,Combo,1964,33.9,77,55.6%,43,61%,76,49%,64,44%,77,47%,55,40%,83,39%,81,39%
Dominick Barlow,22.4,PHI,Big,1131,23.6,53,57.5%,73,72%,23,33%,18,0%,19,31%,7,25%,0,38%,14,28%
Harrison Barnes,33.4,SAS,Big,1594,27.0,45,55.9%,72,72%,35,40%,71,44%,39,41%,53,39%,55,35%,62,37%
Scottie Barnes,24.3,TOR,Big,1952,34.3,25,53.0%,58,69%,48,43%,74,46%,52,44%,11,26%,28,30%,19,29%
Brooks Barnhizer,23.7,OKC,Forward,163,6.8,0,34.4%,0,29%,14,29%,27,20%,8,25%,0,33%,0,25%,0,31%
RJ Barrett,25.4,TOR,Wing,1028,29.4,46,52.9%,44,65%,54,43%,26,25%,53,42%,36,36%,39,33%,38,34%
Jamison Battle,24.5,TOR,Big,309,8.1,89,65.5%,33,65%,70,50%,91,67%,90,56%,96,50%,88,41%,96,45%
Nicolas Batum,36.9,LAC,Forward,1049,19.1,84,56.6%,10,50%,90,50%,65,40%,73,43%,69,41%,70,35%,84,38%
Bradley Beal,32.3,LAC,Combo,120,20.2,6,44.8%,67,67%,4,20%,20,30%,6,25%,0,25%,0,40%,63,37%
Joan Beringer,19.0,MIN,Big,116,6.5,94,67.9%,57,69%,70,50%,0,,74,50%,0,,0,,0,
Saddiq Bey,26.6,NOP,Forward,1620,30.6,57,53.3%,43,62%,65,44%,31,25%,63,41%,64,40%,61,34%,61,36%
Goga Bitadze,26.3,ORL,Big,654,15.6,93,67.7%,83,76%,70,50%,18,0%,57,45%,0,0%,0,20%,0,13%
Anthony Black,21.8,ORL,Wing,1814,31.3,38,52.0%,62,68%,31,37%,30,26%,24,35%,68,43%,26,30%,36,34%
Bogdan Bogdanovic,33.2,LAC,Combo,362,20.2,10,45.8%,36,60%,23,35%,83,50%,42,40%,0,50%,9,27%,15,30%
Adem Bona,22.6,PHI,Big,810,16.2,72,61.7%,31,65%,26,36%,0,,26,36%,0,25%,0,100%,0,40%
Devin Booker,29.0,PHX,Combo,1466,33.3,34,50.2%,77,68%,73,48%,72,46%,78,47%,26,33%,20,31%,19,31%
Jamaree Bouyea,26.3,PHX,Point,424,13.3,67,54.5%,100,93%,79,49%,48,41%,69,47%,46,38%,4,23%,14,28%
Tony Bradley,27.8,IND,Big,389,11.1,40,54.9%,17,59%,62,47%,92,75%,74,50%,0,,0,,0,
Malaki Branham,22.5,WAS,Wing,205,9.0,20,50.0%,11,55%,67,45%,94,100%,91,54%,0,0%,30,32%,13,28%
Christian Braun,24.5,DEN,Wing,743,31.0,59,54.4%,71,70%,54,42%,25,22%,29,37%,24,33%,9,26%,13,28%
Mikal Bridges,29.2,NYK,Wing,2035,33.9,79,58.2%,89,76%,72,47%,76,49%,77,47%,68,43%,47,34%,70,38%
Miles Bridges,27.6,CHA,Forward,1752,31.9,49,52.9%,49,64%,78,46%,39,28%,78,44%,33,35%,59,33%,41,34%
Dillon Brooks,29.8,PHX,Wing,1527,30.5,26,50.7%,51,67%,87,52%,48,36%,74,47%,17,30%,58,35%,41,34%
Bruce Brown,29.2,DEN,Combo,1474,24.6,37,50.7%,75,68%,10,29%,7,19%,10,28%,60,41%,22,31%,57,36%
Jaylen Brown,29.0,BOS,Wing,1811,34.2,45,52.8%,79,72%,70,46%,69,45%,71,46%,32,35%,52,35%,44,35%
Kobe Brown,25.8,IND,Forward,182,26.1,59,53.8%,14,53%,0,0%,0,,0,0%,0,38%,0,45%,94,42%
Kobe Brown,25.8,LAC,Big,193,9.2,6,48.1%,77,73%,6,20%,0,,5,20%,0,33%,9,24%,13,27%
Jalen Brunson,29.2,NYK,Point,1903,34.6,63,54.2%,58,63%,73,48%,92,52%,79,50%,68,43%,62,36%,69,38%
Carter Bryant,19.9,SAS,Forward,366,8.3,27,48.8%,8,49%,8,23%,0,,6,23%,31,34%,86,37%,59,36%
Thomas Bryant,28.3,CLE,Big,380,11.2,48,56.4%,39,66%,94,61%,18,0%,85,52%,0,33%,46,34%,42,34%
Jimmy Butler,36.1,GSW,Forward,1181,31.1,80,56.2%,73,69%,80,46%,24,18%,57,40%,74,43%,75,36%,86,39%
Matas Buzelis,21.1,CHI,Forward,1706,28.4,82,56.2%,41,62%,59,41%,86,56%,67,43%,36,35%,84,37%,71,36%
Kentavious Caldwell-Pope,32.7,MEM,Combo,1087,21.3,19,48.6%,42,61%,54,44%,69,45%,63,45%,23,31%,28,32%,23,32%
Toumani Camara,25.5,POR,Wing,2004,33.4,65,55.5%,64,68%,50,41%,26,25%,39,40%,16,30%,84,39%,50,36%
Clint Capela,31.5,HOU,Big,568,11.1,16,50.4%,16,59%,9,24%,0,,9,24%,0,,0,,0,
Dylan Cardwell,23.9,SAC,Big,591,20.4,56,57.9%,74,72%,43,43%,18,0%,41,42%,0,0%,0,,0,0%
Branden Carlson,26.4,OKC,Big,267,8.9,35,53.9%,79,74%,11,27%,18,0%,9,25%,0,33%,26,29%,22,30%
Carlton Carrington,20.3,WAS,Point,1581,27.3,38,50.5%,15,44%,17,35%,65,46%,35,41%,57,38%,71,38%,71,38%
Devin Carter,23.6,SAC,Combo,271,15.1,4,41.2%,100,79%,31,37%,1,0%,19,32%,0,25%,0,11%,0,12%
Jevon Carter,30.1,CHI,Combo,231,12.9,84,56.5%,1,40%,41,40%,8,20%,12,30%,66,42%,89,41%,90,42%
Jevon Carter,30.1,ORL,Point,102,17.0,92,56.8%,19,50%,15,33%,100,100%,98,56%,0,67%,49,35%,78,38%
Wendell Carter,26.5,ORL,Big,1649,29.4,44,55.8%,89,77%,24,35%,68,42%,30,38%,19,30%,44,34%,35,32%
Alex Caruso,31.7,OKC,Forward,740,18.5,55,53.2%,92,74%,16,30%,90,67%,29,33%,10,22%,93,41%,33,32%
Stephon Castle,21.0,SAS,Combo,1453,29.7,41,50.9%,49,63%,55,45%,41,38%,53,43%,15,29%,19,30%,14,29%
Julian Champagnie,24.3,SAS,Wing,1643,27.9,79,58.1%,90,76%,16,31%,37,33%,16,31%,47,38%,77,39%,72,38%
Justin Champagnie,24.3,WAS,Big,984,19.3,50,56.7%,57,69%,22,31%,0,,20,31%,25,33%,39,33%,36,33%
Cam Christie,20.3,LAC,Wing,275,9.2,9,46.0%,23,59%,29,36%,0,,27,36%,0,46%,2,17%,14,29%
Max Christie,22.7,DAL,Wing,1596,29.6,81,58.8%,71,69%,35,38%,69,45%,44,40%,77,46%,88,40%,88,42%
Moussa Cisse,23.1,DAL,Big,347,12.0,62,59.2%,25,63%,13,29%,0,,13,29%,0,,0,,0,
Sidy Cissoko,21.6,POR,Big,1110,21.0,7,48.5%,42,67%,20,30%,40,20%,14,29%,30,34%,20,28%,23,31%
Jaylen Clark,24.1,MIN,Wing,677,12.5,14,48.7%,24,60%,39,39%,0,,37,39%,14,29%,20,29%,15,29%
Jordan Clarkson,33.4,NYK,Wing,914,17.9,31,51.5%,25,60%,84,51%,31,26%,76,47%,23,33%,53,35%,37,34%
Nicolas Claxton,26.5,BKN,Big,1571,29.1,65,59.4%,63,71%,50,44%,67,42%,52,44%,0,0%,0,20%,3,19%
Walter Clayton,22.7,UTA,Combo,740,16.5,7,45.0%,16,51%,78,49%,77,47%,84,48%,0,14%,16,29%,7,28%
Walter Clayton,22.7,MEM,Combo,134,22.4,1,40.6%,25,56%,94,57%,12,25%,67,45%,0,50%,1,14%,1,19%
Nique Clifford,23.7,SAC,Wing,1164,20.4,11,47.4%,67,69%,43,40%,37,33%,32,38%,19,31%,36,33%,27,32%
Donovan Clingan,21.7,POR,Big,1513,27.5,63,59.3%,55,69%,45,43%,90,63%,58,46%,0,21%,52,35%,40,34%
Noah Clowney,21.3,BKN,Big,1493,28.2,16,50.7%,13,57%,66,48%,45,25%,60,46%,77,44%,21,29%,38,34%
Amir Coffey,28.4,MIL,Wing,203,9.3,56,54.1%,97,100%,31,38%,89,60%,73,46%,0,25%,0,25%,6,25%
Isaiah Collier,21.1,UTA,Point,1250,24.5,52,51.9%,90,72%,54,45%,29,37%,54,44%,21,26%,13,27%,8,27%
John Collins,28.1,LAC,Big,1461,27.6,82,63.7%,91,78%,67,48%,45,25%,55,45%,88,47%,39,33%,91,43%
Zach Collins,28.0,CHI,Big,183,18.4,87,64.8%,92,79%,29,38%,78,50%,35,40%,0,56%,0,33%,92,43%
Mike Conley,38.1,MIN,Point,830,18.1,15,44.0%,13,44%,4,23%,46,40%,10,26%,43,36%,31,30%,35,32%
Pat Connaughton,32.8,CHA,Wing,144,9.7,94,62.2%,51,67%,98,75%,0,,98,75%,0,45%,55,35%,75,39%
Sharife Cooper,24.4,WAS,Point,223,17.2,85,56.3%,85,70%,6,24%,98,71%,19,38%,0,44%,0,36%,86,40%
Bilal Coulibaly,21.3,WAS,Wing,992,26.1,7,45.7%,51,67%,5,21%,62,43%,4,23%,42,38%,4,19%,11,27%
Cedric Coward,22.1,MEM,Wing,1243,25.9,51,53.7%,72,70%,64,44%,31,26%,54,42%,6,25%,73,38%,35,34%
Cade Cunningham,24.1,DET,Point,1815,34.9,46,51.2%,56,63%,48,44%,71,47%,58,45%,0,33%,44,34%,39,34%
Stephen Curry,37.6,GSW,Point,1221,31.3,96,58.4%,83,70%,90,54%,73,48%,88,51%,100,53%,73,38%,84,39%
Dyson Daniels,22.6,ATL,Wing,1933,33.3,26,50.7%,51,66%,55,43%,37,33%,59,43%,0,10%,0,14%,1,13%
Anthony Davis,32.6,DAL,Big,625,31.3,21,52.3%,39,66%,60,46%,61,35%,45,42%,0,33%,13,27%,15,28%
JD Davison,23.1,HOU,Wing,118,9.1,32,51.5%,94,80%,96,63%,76,50%,95,60%,0,0%,0,36%,9,26%
DeMar DeRozan,36.2,SAC,Wing,1944,31.9,36,51.9%,81,72%,89,53%,73,46%,80,49%,35,36%,31,32%,33,34%
RayJ Dennis,24.6,IND,Point,141,14.2,2,35.1%,6,43%,10,26%,0,0%,6,25%,0,0%,38,32%,10,27%
Donte DiVincenzo,28.8,MIN,Wing,1863,31.1,73,57.0%,16,58%,36,39%,86,55%,52,42%,37,37%,91,40%,76,39%
Moussa Diabate,23.8,CHA,Big,1300,25.0,89,65.2%,74,72%,43,42%,55,33%,45,42%,0,100%,0,0%,0,50%
Mohamed Diawara,20.5,NYK,Forward,283,7.1,86,57.7%,6,48%,41,38%,96,100%,78,44%,0,83%,32,31%,96,43%
Gradey Dick,21.9,TOR,Wing,865,14.9,16,49.1%,56,67%,11,28%,76,50%,28,37%,58,41%,6,24%,19,31%
Ousmane Dieng,22.5,MIL,Wing,136,17.0,98,64.6%,97,100%,64,44%,54,40%,61,43%,0,100%,95,43%,100,50%
Ousmane Dieng,22.5,OKC,Wing,188,9.9,41,52.3%,31,63%,12,29%,94,100%,67,44%,0,38%,39,33%,42,35%
Rob Dillingham,20.8,MIN,Point,249,9.2,0,33.0%,2,38%,8,24%,15,25%,4,24%,0,60%,0,19%,18,29%
Rob Dillingham,20.8,CHI,Wing,149,18.7,1,40.6%,1,47%,25,35%,89,60%,40,40%,0,0%,0,27%,0,23%
Luka Doncic,26.7,LAL,Point,1639,35.6,79,55.4%,98,80%,85,51%,77,49%,85,50%,14,26%,64,36%,49,36%
Luguentz Dort,26.5,OKC,Wing,1400,28.0,29,51.1%,41,64%,31,38%,58,41%,36,39%,28,34%,51,35%,43,35%
Ayo Dosunmu,25.8,MIN,Combo,185,26.5,82,56.2%,29,58%,80,50%,96,67%,95,53%,0,38%,74,38%,73,38%
Ayo Dosunmu,25.8,CHI,Wing,1175,26.1,86,60.4%,29,61%,37,39%,26,25%,35,38%,84,47%,97,44%,96,45%
Andre Drummond,32.2,PHI,Big,859,19.5,34,53.9%,9,56%,60,47%,0,,62,47%,42,36%,0,25%,45,35%
Kris Dunn,31.6,LAC,Combo,1608,27.7,83,56.4%,95,74%,70,48%,18,27%,69,46%,61,41%,42,33%,60,37%
Ryan Dunn,22.8,PHX,Forward,1006,19.0,45,52.0%,37,62%,20,31%,27,20%,16,30%,48,37%,9,28%,47,34%
Kevin Durant,37.1,HOU,Wing,2010,36.6,74,57.4%,77,72%,93,56%,84,51%,90,54%,92,51%,80,39%,82,40%
Jalen Duren,22.0,DET,Big,1347,28.1,79,63.5%,67,71%,70,50%,71,44%,72,49%,0,,0,,0,
Egor Dëmin,19.7,BKN,Combo,1269,24.4,70,54.5%,20,55%,34,37%,10,22%,14,32%,77,45%,79,38%,83,39%
Tari Eason,24.5,HOU,Wing,939,26.1,61,54.7%,35,63%,10,27%,24,18%,6,25%,96,53%,37,33%,93,43%
Zach Edey,23.6,MEM,Big,283,25.8,82,63.8%,72,72%,90,57%,0,,93,57%,0,,0,20%,0,20%
VJ Edgecombe,20.3,PHI,Combo,1940,35.3,42,51.0%,28,57%,40,39%,55,41%,40,40%,26,33%,63,37%,58,36%
Anthony Edwards,24.2,MIN,Combo,1777,35.6,93,57.7%,84,70%,65,46%,73,46%,71,46%,73,44%,86,40%,86,40%
Justin Edwards,21.9,PHI,Wing,553,13.8,19,49.4%,46,65%,24,35%,37,33%,22,34%,51,39%,33,32%,34,34%
Keon Ellis,25.8,CLE,Wing,172,19.1,97,64.5%,97,100%,99,100%,94,100%,99,100%,0,36%,28,31%,31,33%
Keon Ellis,25.8,SAC,Wing,692,16.1,54,53.8%,94,84%,31,38%,20,8%,10,28%,43,38%,74,38%,64,38%
Joel Embiid,31.6,PHI,Big,1028,31.2,28,53.0%,48,68%,54,45%,77,50%,66,48%,0,50%,29,30%,27,32%
Drew Eubanks,28.7,SAC,Big,463,12.9,71,61.2%,89,77%,87,54%,40,20%,83,51%,0,25%,0,0%,0,17%
Jeremiah Fears,19.0,NOP,Combo,1497,25.0,12,46.3%,24,56%,17,32%,35,35%,20,33%,85,48%,15,29%,21,32%
Kyle Filipowski,22.0,UTA,Big,1202,20.7,38,54.4%,47,67%,46,43%,52,29%,46,42%,40,36%,52,35%,57,35%
Dorian Finney-Smith,32.5,HOU,Forward,391,16.3,4,40.6%,27,57%,90,50%,10,0%,29,33%,2,17%,36,32%,6,25%
Cooper Flagg,18.9,DAL,Combo,1668,34.1,46,51.7%,72,67%,75,49%,46,38%,66,45%,2,19%,38,33%,17,31%
Rasheer Fleming,21.3,PHX,Forward,163,7.4,2,37.7%,10,50%,100,67%,0,,100,67%,12,22%,0,14%,0,19%
Simone Fontecchio,29.9,MIA,Big,906,18.1,21,52.2%,11,57%,17,30%,55,33%,17,30%,75,44%,38,33%,59,36%
De'Aaron Fox,27.9,SAS,Point,1578,31.6,71,54.9%,73,68%,88,52%,69,47%,81,50%,82,48%,33,31%,45,35%
Johnny Furphy,20.9,IND,Wing,629,18.0,49,53.5%,57,67%,16,31%,11,0%,8,27%,24,33%,27,31%,26,32%
Daniel Gafford,27.1,DAL,Big,895,21.3,77,63.2%,45,67%,82,51%,78,50%,81,51%,0,,0,,0,
