Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Myron Gardner,24.4,MIA,Wing,222,11.1,92,61.8%,61,68%,4,20%,11,0%,2,17%,0,38%,98,46%,92,43%
Darius Garland,25.8,CLE,Point,791,30.4,58,52.8%,27,56%,81,50%,88,51%,83,50%,32,33%,58,36%,51,36%
Luka Garza,26.8,BOS,Big,730,16.2,90,66.0%,53,69%,91,60%,78,50%,94,59%,0,23%,100,49%,95,45%
Keyonte George,22.0,UTA,Combo,1614,33.6,63,53.5%,94,73%,66,46%,48,39%,57,44%,48,40%,73,37%,75,38%
Kyshawn George,21.9,WAS,Wing,1344,29.2,34,51.8%,63,68%,24,35%,64,44%,34,38%,59,41%,60,36%,57,37%
Paul George,35.5,PHI,Wing,823,30.5,35,51.8%,10,55%,46,40%,72,46%,63,43%,62,41%,71,37%,71,38%
Josh Giddey,23.1,CHI,Point,1214,31.1,54,52.2%,38,58%,63,47%,8,12%,40,41%,61,38%,67,37%,63,37%
Shai Gilgeous-Alexander,27.3,OKC,Point,1664,33.3,98,59.4%,88,71%,94,56%,85,51%,96,54%,0,42%,80,39%,82,39%
Anthony Gill,33.0,WAS,Big,294,13.4,60,58.8%,81,75%,33,40%,94,100%,50,44%,0,50%,0,17%,6,25%
Collin Gillespie,26.4,PHX,Combo,1668,28.3,89,57.3%,10,50%,53,44%,63,42%,51,43%,81,47%,90,42%,93,43%
Rudy Gobert,33.3,MIN,Big,1787,31.4,95,70.8%,85,76%,52,45%,18,0%,47,43%,0,0%,0,0%,0,0%
Hugo González,19.7,BOS,Wing,738,13.7,58,54.3%,92,78%,15,30%,11,0%,13,29%,31,35%,8,25%,17,30%
Jordan Goodwin,27.0,PHX,Wing,1140,21.5,25,50.6%,17,58%,19,33%,44,35%,20,34%,27,34%,66,37%,48,36%
Aaron Gordon,30.1,DEN,Big,641,27.9,61,59.0%,82,76%,40,42%,62,35%,33,39%,35,35%,94,43%,86,41%
Jerami Grant,31.6,POR,Forward,1285,29.2,53,52.9%,45,62%,27,33%,31,25%,20,31%,71,41%,82,36%,82,38%
AJ Green,26.1,MIL,Wing,1629,30.2,95,62.5%,29,62%,61,44%,62,43%,65,43%,90,51%,85,39%,90,43%
Draymond Green,35.7,GSW,Big,1278,26.6,18,51.0%,50,68%,25,36%,35,17%,22,33%,54,39%,22,29%,34,32%
Jalen Green,23.7,PHX,Wing,239,19.9,4,41.3%,1,45%,19,33%,75,48%,51,41%,0,33%,7,25%,9,26%
Javonte Green,32.3,DET,Wing,986,17.0,42,52.5%,36,63%,26,35%,33,29%,21,34%,67,43%,16,29%,39,34%
Josh Green,25.0,CHA,Wing,562,15.6,99,65.1%,44,65%,92,56%,76,50%,92,55%,94,52%,28,31%,94,44%
Quentin Grimes,25.5,PHI,Wing,1540,29.1,52,53.8%,54,67%,17,31%,23,16%,5,24%,70,43%,35,33%,45,35%
Mouhamed Gueye,23.0,ATL,Big,866,15.2,9,49.5%,67,71%,13,28%,52,29%,13,28%,9,26%,50,35%,17,28%
Rui Hachimura,27.7,LAL,Forward,1375,29.3,92,60.2%,47,64%,71,45%,88,57%,94,52%,83,43%,95,44%,98,44%
PJ Hall,23.7,CHA,Big,176,14.7,9,48.9%,7,51%,9,25%,18,0%,5,20%,0,100%,0,,0,100%
Yang Hansen,20.4,POR,Big,199,7.1,1,32.0%,8,53%,8,24%,18,0%,7,22%,0,13%,2,19%,1,17%
Tim Hardaway Jr.,33.6,DEN,Wing,1596,27.1,81,59.0%,34,63%,86,52%,86,54%,88,53%,63,41%,88,40%,83,40%
James Harden,36.2,CLE,Point,225,32.2,100,61.6%,6,43%,96,57%,15,25%,92,53%,0,100%,100,47%,100,50%
James Harden,36.2,LAC,Point,1555,35.4,42,51.1%,69,66%,25,38%,31,37%,21,38%,4,18%,60,36%,47,35%
Jaden Hardy,22.3,DAL,Combo,400,12.1,28,49.4%,33,58%,67,47%,59,42%,70,46%,13,26%,65,37%,33,33%
Dylan Harper,19.7,SAS,Combo,1014,21.1,39,50.7%,40,61%,41,40%,92,57%,59,44%,26,33%,5,23%,5,26%
Ron Harper,25.6,BOS,Wing,122,13.6,1,38.9%,0,33%,77,50%,0,,81,50%,7,25%,0,27%,7,26%
Gary Harris,31.1,MIL,Wing,536,14.1,90,60.9%,83,73%,64,44%,11,0%,18,33%,93,52%,20,29%,94,43%
Tobias Harris,33.3,DET,Forward,1185,28.2,41,51.1%,16,54%,88,49%,80,48%,90,49%,40,36%,57,33%,45,34%
Josh Hart,30.7,NYK,Wing,1450,30.2,78,57.9%,60,68%,69,46%,51,38%,66,43%,79,46%,67,37%,78,40%
Isaiah Hartenstein,27.5,OKC,Big,867,25.5,86,64.7%,87,76%,79,51%,18,0%,74,50%,0,0%,0,0%,0,0%
Sam Hauser,27.9,BOS,Big,1346,24.0,58,58.5%,97,81%,65,48%,54,32%,34,40%,93,48%,73,38%,80,40%
Jordan Hawkins,23.5,NOP,Wing,463,14.5,4,41.6%,1,47%,7,25%,36,33%,15,30%,77,46%,10,27%,26,32%
Jaxson Hayes,25.4,LAL,Big,833,17.4,98,77.4%,95,80%,96,63%,0,,96,63%,0,,0,100%,0,100%
Nigel Hayes,30.9,PHX,Big,115,7.7,0,23.8%,2,50%,70,50%,18,0%,35,40%,0,0%,0,0%,0,0%
Scoot Henderson,21.7,POR,Point,183,22.9,33,49.4%,96,76%,29,40%,79,50%,52,43%,0,36%,7,25%,16,28%
Taylor Hendricks,21.9,MEM,Big,203,22.6,23,52.7%,20,61%,42,42%,94,100%,65,48%,0,46%,6,24%,36,33%
Taylor Hendricks,21.9,UTA,Forward,455,13.8,76,55.8%,86,71%,8,23%,96,100%,29,33%,52,38%,30,31%,51,35%
Tyler Herro,25.8,MIA,Combo,452,30.2,71,54.7%,60,65%,92,54%,69,45%,94,53%,63,41%,49,34%,55,35%
Buddy Hield,32.9,GSW,Wing,717,17.5,53,53.8%,67,69%,86,52%,24,18%,56,42%,43,38%,38,33%,40,34%
Aaron Holiday,29.1,HOU,Point,423,12.8,90,56.6%,54,63%,46,44%,10,17%,27,39%,93,48%,84,39%,90,42%
Jrue Holiday,35.4,POR,Point,882,28.5,60,53.5%,67,66%,56,45%,75,48%,63,46%,71,44%,51,35%,57,36%
Ron Holland II,20.3,DET,Forward,1045,19.4,14,47.1%,55,66%,49,40%,20,10%,41,37%,14,23%,5,25%,4,24%
DaRon Holmes II,23.2,DEN,Big,153,14.0,54,57.7%,2,50%,0,0%,0,,0,0%,0,50%,77,38%,84,41%
Chet Holmgren,23.5,OKC,Big,1555,29.4,70,60.7%,88,77%,65,48%,75,46%,65,48%,5,24%,72,38%,55,35%
Al Horford,39.4,GSW,Big,776,21.0,36,54.0%,28,64%,70,50%,89,57%,80,51%,25,33%,59,36%,51,35%
Jett Howard,22.1,ORL,Wing,360,10.3,19,49.6%,1,47%,44,40%,76,50%,51,41%,21,32%,70,37%,48,36%
Kevin Huerter,27.2,CHI,Wing,1029,23.4,54,54.0%,86,74%,85,52%,21,13%,76,47%,52,39%,16,29%,20,31%
Jay Huff,28.2,IND,Big,1178,19.6,52,56.9%,91,78%,94,62%,94,100%,96,63%,12,26%,34,32%,24,31%
Ariel Hukporti,23.6,NYK,Big,280,10.0,7,48.5%,81,75%,4,8%,18,0%,2,8%,0,,0,,0,
DeAndre Hunter,27.9,CLE,Wing,1117,26.0,24,50.1%,34,63%,84,51%,66,44%,79,49%,41,38%,19,29%,21,31%
Nah'Shon Hyland,25.1,MIN,Combo,711,15.1,81,55.9%,59,64%,37,38%,83,50%,48,43%,66,42%,65,37%,73,38%
Oso Ighodaro,23.3,PHX,Big,1193,19.9,79,63.6%,96,80%,52,44%,78,50%,55,45%,0,,0,,0,
Brandon Ingram,28.2,TOR,Wing,1938,34.0,40,52.3%,50,66%,73,47%,71,46%,74,46%,85,47%,42,33%,57,37%
Jonathan Isaac,28.1,ORL,Big,474,9.9,4,45.8%,32,65%,13,29%,55,33%,16,30%,4,22%,0,10%,5,19%
Jaden Ivey,23.7,CHI,Wing,111,27.9,44,52.8%,5,50%,77,50%,54,40%,61,43%,0,67%,39,33%,70,38%
Jaden Ivey,23.7,DET,Combo,532,16.1,64,53.6%,45,61%,24,35%,94,63%,61,45%,39,37%,62,36%,60,37%
Isaiah Jackson,23.8,IND,Big,626,16.5,57,58.4%,46,67%,33,40%,35,17%,29,37%,0,,0,,0,
Jaren Jackson,26.1,MEM,Big,1382,30.7,30,53.5%,21,61%,79,51%,40,20%,74,50%,47,37%,61,36%,60,36%
Quenton Jackson,27.1,IND,Combo,503,17.4,94,58.2%,86,71%,13,31%,25,31%,13,31%,10,25%,100,50%,94,43%
GG Jackson II,20.9,MEM,Forward,704,20.7,96,60.9%,88,72%,86,49%,92,75%,92,51%,95,50%,11,28%,80,37%
Trayce Jackson-Davis,25.7,GSW,Big,329,10.6,66,59.5%,30,65%,11,27%,0,,11,27%,0,,0,,0,
Kasparas Jakučionis,19.4,MIA,Combo,520,17.9,92,57.5%,4,46%,7,24%,1,0%,5,22%,97,56%,84,39%,98,46%
Bronny James,21.1,LAL,Wing,120,8.0,11,46.9%,51,67%,29,36%,11,0%,6,25%,0,0%,0,60%,0,46%
LeBron James,40.8,LAL,Forward,1321,33.0,65,54.2%,90,73%,73,46%,61,38%,69,43%,5,20%,50,33%,20,30%
Sion James,22.9,CHA,Wing,1353,22.6,12,47.4%,4,47%,3,17%,11,0%,1,16%,33,36%,51,35%,47,35%
