Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,22.1,TOR,Big,1693,23.2,7,48.6%,35,43%,74,27%,62,5%,71,32%,77,11%,51,14%,55,24%
Steven Adams,28.3,MEM,Big,1997,26.3,42,55.1%,85,78%,60,22%,11,0%,39,22%,0,0%,0,0%,0,0%
Bam Adebayo,24.3,MIA,Big,1822,32.5,46,55.9%,51,50%,95,37%,89,13%,96,50%,0,0%,19,0%,16,0%
Santi Aldama,20.8,MEM,Big,243,11.6,2,42.8%,44,47%,46,19%,19,1%,34,20%,75,10%,69,22%,72,33%
LaMarcus Aldridge,36.3,BKN,Big,1047,22.3,50,56.6%,7,25%,75,28%,100,38%,100,66%,45,3%,36,6%,37,9%
Nickeil Alexander-Walker,23.2,UTA,Wing,112,11.3,25,48.6%,45,26%,17,8%,22,3%,13,11%,92,32%,53,32%,77,63%
Nickeil Alexander-Walker,23.2,NOP,Combo,1298,26.0,25,45.7%,70,31%,26,15%,50,9%,27,24%,65,11%,53,34%,57,45%
Grayson Allen,26.1,MIL,Wing,1786,27.1,90,58.5%,30,20%,34,11%,25,3%,22,14%,56,18%,89,48%,82,66%
Jarrett Allen,23.5,CLE,Big,1802,32.2,93,67.8%,81,72%,63,23%,51,4%,54,27%,31,1%,19,0%,18,1%
Jose Alvarado,23.6,NOP,Point,731,15.2,62,51.2%,74,32%,72,27%,26,7%,52,34%,70,9%,30,25%,38,34%
Justin Anderson,28.0,IND,Wing,260,20.0,6,42.4%,33,20%,25,10%,71,11%,44,21%,66,20%,69,38%,71,58%
Kyle Anderson,28.1,MEM,Forward,1458,21.1,18,48.4%,66,34%,95,36%,70,8%,91,43%,25,9%,11,13%,11,22%
Giannis Antetokounmpo,26.9,MIL,Big,2189,32.7,65,58.7%,58,53%,58,22%,85,11%,70,32%,25,0%,54,15%,44,15%
Thanasis Antetokounmpo,29.3,MIL,Big,359,8.8,62,58.2%,90,81%,8,9%,41,3%,11,12%,49,4%,31,4%,33,7%
Carmelo Anthony,37.4,LAL,Big,1784,25.9,39,54.7%,2,15%,25,14%,95,19%,72,33%,76,10%,96,42%,93,52%
