Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,25.1,NYK,Big,1141,20.0,25,51.9%,19,63%,21,35%,49,33%,19,35%,17,30%,0,25%,23,29%
Steven Adams,31.3,HOU,Big,784,13.8,39,54.9%,18,62%,41,40%,0,,37,40%,0,,0,,0,
Bam Adebayo,27.3,MIA,Big,2666,34.2,27,52.3%,59,70%,50,43%,75,45%,53,44%,86,45%,41,33%,63,37%
Ochai Agbaji,24.5,TOR,Wing,1711,26.7,88,59.1%,59,66%,11,31%,71,44%,18,33%,58,40%,77,39%,77,40%
Santi Aldama,23.8,MEM,Big,1634,25.1,56,57.7%,76,73%,72,49%,56,35%,69,48%,73,40%,54,36%,63,37%
Nickeil Alexander-Walker,26.2,MIN,Wing,2053,25.0,62,55.8%,55,65%,46,40%,67,43%,49,41%,88,47%,34,33%,67,39%
Grayson Allen,29.1,PHX,Wing,1532,23.9,93,60.1%,58,66%,16,32%,98,75%,24,34%,90,49%,82,40%,92,43%
Jarrett Allen,26.5,CLE,Big,2292,28.0,97,70.8%,93,77%,92,60%,49,33%,94,59%,0,0%,0,0%,0,0%
Jose Alvarado,26.6,NOP,Point,1332,23.8,34,49.6%,21,54%,32,40%,26,29%,26,38%,46,36%,52,35%,50,36%
Kyle Anderson,31.1,MIA,Big,444,17.8,23,51.6%,25,63%,52,44%,40,25%,42,41%,0,56%,0,14%,67,38%
Kyle Anderson,31.1,GSW,Big,508,14.5,18,50.7%,95,78%,32,39%,38,22%,24,37%,52,38%,84,41%,79,39%
Giannis Antetokounmpo,29.9,MIL,Big,2287,34.1,75,60.4%,84,75%,40,40%,78,47%,53,44%,0,0%,13,25%,11,24%
Cole Anthony,24.5,ORL,Point,1172,17.8,26,48.4%,51,62%,49,43%,51,38%,47,42%,80,44%,24,32%,38,34%
OG Anunoby,27.3,NYK,Forward,2701,36.5,67,56.2%,44,65%,37,39%,51,30%,21,35%,60,38%,69,37%,71,38%
Deni Avdija,23.8,POR,Forward,2166,30.1,60,55.4%,46,65%,23,36%,79,44%,33,37%,16,31%,78,39%,66,37%
Deandre Ayton,26.3,POR,Big,1205,30.1,52,57.3%,81,74%,78,51%,71,44%,70,48%,0,6%,33,31%,6,19%
Marcus Bagley,23.0,PHI,Forward,246,24.7,4,43.2%,65,69%,7,20%,5,0%,2,17%,0,29%,0,6%,0,16%
Marvin Bagley,25.6,WAS,Big,115,7.2,33,53.8%,59,70%,15,33%,97,100%,26,38%,0,50%,0,0%,0,25%
LaMelo Ball,23.2,CHA,Point,1501,31.9,36,49.7%,17,53%,66,45%,53,38%,60,44%,20,32%,43,35%,40,34%
Lonzo Ball,27.0,CHI,Wing,776,22.2,36,51.7%,11,55%,49,41%,47,36%,40,39%,46,39%,44,34%,45,35%
Mohamed Bamba,26.5,LAC,Big,316,11.3,39,54.9%,88,76%,22,36%,94,67%,41,41%,0,29%,36,32%,32,31%
Paolo Banchero,22.0,ORL,Big,1580,34.4,16,50.4%,44,67%,46,43%,64,40%,43,42%,11,27%,46,34%,43,33%
Desmond Bane,26.4,MEM,Wing,2191,31.8,69,56.5%,69,68%,63,44%,79,48%,74,45%,18,32%,88,41%,71,39%
Dalano Banton,25.0,POR,Wing,1037,16.7,6,45.8%,8,53%,19,32%,29,28%,14,31%,63,41%,23,30%,23,33%
